method,num_queries,num_reachable,path_coverage,mean_path_length,mean_planning_path_cost,mean_base_path_cost,mean_edge_proxy_score,mean_min_edge_proxy_score,mean_heldout_support_lcb,mean_min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_outgoing_incompatible_fraction,mean_outgoing_termination_bridge_coverage,mean_uncertified_edge_fraction,mean_original_uncertified_edge_fraction,mean_low_proxy_edge_fraction,mean_low_support_lcb_edge_fraction,mean_high_ood_edge_fraction,mean_high_incompat_edge_fraction,mean_bottleneck_edge_fraction,mean_proxy_path_success_reachable,mean_proxy_path_success_over_all,num_graph_nodes,num_graph_edges,planner_method,risk_weight,ood_weight,incompat_weight,uncertified_weight,min_proxy_score,min_heldout_support_lcb,high_ood_threshold,high_incompat_threshold,sweep_id,coverage_cost_ratio,risk_cleanliness_score,coverage_risk_score,is_pareto
floor_proxy_penalized_s0000,100,16,0.16,3.25,10.7958664251808,10.7958664251808,0.21012182773175977,0.11066893082141645,0.1238831853261526,0.025363488956451692,0.4346534626363684,0.46180974273794784,0.7489469876188626,0.09392930061274607,0.5718749999999999,0.5718749999999999,0.0,0.0,0.46770833333333334,0.9166666666666666,0.5666666666666667,0.012008653257213557,0.0019213845211541692,191,1897,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0.014820487184503163,0.25566042322951377,0.0409056677167222,True
floor_proxy_penalized_s0001,100,15,0.15,3.6,12.413849077795026,12.413849077795026,0.28575380195998135,0.1758252738750599,0.18050957952918684,0.07069827780568573,0.5749786037116112,0.3423131450636803,0.6445527158027158,0.11140437747337098,0.32333333333333336,0.32333333333333336,0.0,0.0,0.2011111111111111,0.7677777777777778,0.5433333333333332,0.023887473726349272,0.0035831210589523915,188,1322,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.0,0.01,0.5,0.5,1,0.012083278849290096,0.4128225262364049,0.06192337893546074,False
floor_proxy_penalized_s0002,100,15,0.15,3.8666666666666667,13.269539706159536,13.269539706159536,0.30530459172880825,0.22151848365969637,0.190908272905816,0.09156306820733447,0.6395363613843441,0.32041289950853913,0.6627371830239476,0.10566371848174926,0.24555555555555558,0.24555555555555558,0.0,0.0,0.1488888888888889,0.7655555555555557,0.5077777777777778,0.023348983393669455,0.003502347509050418,187,1110,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.0,0.05,0.5,0.5,2,0.011304084642089889,0.45048535131310247,0.06757280269696536,False
floor_proxy_penalized_s0003,100,15,0.15,3.2666666666666666,10.760067720809094,10.760067720809094,0.21478543550429582,0.11817894752500059,0.12505263769965527,0.03009345906319089,0.43319465612487656,0.4466604785938932,0.7293702747869415,0.09527536021778402,0.5566666666666666,0.5566666666666666,0.0,0.0,0.43444444444444436,0.8944444444444444,0.6311111111111111,0.012859959161534913,0.0019289938742302374,191,1738,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.05,0.0,0.5,0.5,3,0.013940432708421735,0.2715352059338201,0.04073028089007301,True
floor_proxy_penalized_s0004,100,15,0.15,3.6,12.413849077795026,12.413849077795026,0.28575380195998135,0.1758252738750599,0.18050957952918684,0.07069827780568573,0.5749786037116112,0.3423131450636803,0.6445527158027158,0.11140437747337098,0.32333333333333336,0.32333333333333336,0.0,0.0,0.2011111111111111,0.7677777777777778,0.5433333333333332,0.023887473726349272,0.0035831210589523915,188,1317,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.05,0.01,0.5,0.5,4,0.012083278849290096,0.4128225262364049,0.06192337893546074,False
floor_proxy_penalized_s0005,100,15,0.15,3.8666666666666667,13.269539706159536,13.269539706159536,0.30530459172880825,0.22151848365969637,0.190908272905816,0.09156306820733447,0.6395363613843441,0.32041289950853913,0.6627371830239476,0.10566371848174926,0.24555555555555558,0.24555555555555558,0.0,0.0,0.1488888888888889,0.7655555555555557,0.5077777777777778,0.023348983393669455,0.003502347509050418,187,1110,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.05,0.05,0.5,0.5,5,0.011304084642089889,0.45048535131310247,0.06757280269696536,False
floor_proxy_penalized_s0006,100,15,0.15,3.6666666666666665,12.591411376074491,12.591411376074491,0.30247424303337106,0.20705180838628312,0.1756949968914485,0.07019929119078291,0.6392138081220976,0.31345803266955385,0.6380910614392296,0.11265668285589008,0.31111111111111106,0.31111111111111106,0.0,0.0,0.11888888888888888,0.7233333333333333,0.5166666666666667,0.02478423927917904,0.0037176358918768566,189,1303,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.5,6,0.011912882163870982,0.4458826943888797,0.06688240415833195,False
floor_proxy_penalized_s0007,100,15,0.15,3.7333333333333334,12.901356236790303,12.901356236790303,0.30265673236634544,0.20374991984039015,0.1833508315047771,0.07730607266863289,0.6303814315944033,0.3259174175331502,0.643979704959452,0.11295689540228808,0.29444444444444445,0.29444444444444445,0.0,0.0,0.14555555555555555,0.7266666666666667,0.5399999999999999,0.024408899888437433,0.0036613349832656157,188,1279,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.1,0.01,0.5,0.5,7,0.011626684609502584,0.4440868169357001,0.06661302254035502,False
floor_proxy_penalized_s0008,100,15,0.15,3.933333333333333,13.557815409265363,13.557815409265363,0.3113139911918931,0.23057408968948112,0.19523843112016623,0.09421238367667013,0.6458818023142842,0.3128231480143001,0.664125472122763,0.10441643724404225,0.22555555555555556,0.22555555555555556,0.0,0.0,0.11555555555555555,0.7522222222222222,0.49777777777777776,0.023429719588715252,0.003514457938307288,187,1101,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.1,0.05,0.5,0.5,8,0.01106372933042668,0.46649583749526286,0.06997437562428943,False
floor_proxy_penalized_s0009,100,15,0.15,4.0,13.734245157700997,13.734245157700997,0.3298503836034337,0.26138314821414615,0.18894287854321856,0.09941965763492613,0.678313218646984,0.27686721284074467,0.6281142164843144,0.11403498815875769,0.15777777777777777,0.15777777777777777,0.0,0.0,0.08444444444444445,0.7022222222222222,0.41444444444444445,0.02496717667849366,0.003745076501774049,188,1108,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.5,9,0.01092160495736402,0.501176316462584,0.07517644746938759,True
floor_proxy_penalized_s0010,100,15,0.15,4.066666666666666,14.005171377149724,14.005171377149724,0.3335661334044362,0.2655898041743006,0.19082066407222073,0.10432880534859883,0.6792769424465313,0.27502479543323627,0.6252727061428042,0.11395382398438604,0.1411111111111111,0.1411111111111111,0.0,0.0,0.08444444444444445,0.7055555555555556,0.41111111111111115,0.024824258561196067,0.0037236387841794107,187,1102,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.2,0.01,0.5,0.5,10,0.010710329489058161,0.505059871427082,0.0757589807140623,False
floor_proxy_penalized_s0011,100,15,0.15,4.066666666666666,14.005171377149724,14.005171377149724,0.3335661334044362,0.2655898041743006,0.19082066407222073,0.10432880534859883,0.6792769424465313,0.27502479543323627,0.6252727061428042,0.11395382398438604,0.1411111111111111,0.1411111111111111,0.0,0.0,0.08444444444444445,0.7055555555555556,0.41111111111111115,0.024824258561196067,0.0037236387841794107,187,1020,floor_proxy_penalized,0.0,0.0,0.0,0.0,0.2,0.05,0.5,0.5,11,0.010710329489058161,0.505059871427082,0.0757589807140623,False
floor_proxy_penalized_s0012,100,16,0.16,3.75,14.535955367789118,12.762131766095305,0.3048158732464957,0.17772694407013773,0.17321885300775464,0.055660060163342295,0.6197410359170459,0.3209272796684597,0.6617784329640948,0.11050433783215766,0.15625,0.15625,0.0,0.0,0.1875,0.7916666666666667,0.41770833333333324,0.021697220078653854,0.0034715552125846164,191,1897,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,12,0.012537090427562129,0.4431058260822452,0.07089693217315923,True
floor_proxy_penalized_s0013,100,15,0.15,3.933333333333333,14.797809662413492,13.526413070543414,0.3210634627843045,0.2361301550913701,0.15334500542752874,0.07875341444198994,0.6690967749527297,0.2740693450382323,0.6071265449329174,0.12356144017672974,0.1211111111111111,0.1211111111111111,0.0,0.0,0.1211111111111111,0.7244444444444444,0.5044444444444444,0.02363587075029122,0.0035453806125436836,188,1322,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.0,0.01,0.5,0.5,13,0.011089414408514279,0.48456169877044647,0.07268425481556696,True
floor_proxy_penalized_s0014,100,15,0.15,4.066666666666666,15.051789215886133,14.437554973756397,0.33716880277609373,0.27020448878903225,0.16635693807952273,0.09733734379801263,0.7130823885968425,0.2531784535629961,0.6104157187220911,0.1233678430978693,0.05777777777777778,0.05777777777777778,0.0,0.0,0.0611111111111111,0.7211111111111111,0.45444444444444443,0.023915640107868483,0.0035873460161802723,187,1110,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.0,0.05,0.5,0.5,14,0.01038957082917847,0.519312285373711,0.07789684280605665,True
floor_proxy_penalized_s0015,100,15,0.15,3.6666666666666665,14.257510570862843,12.337346121419264,0.2965774395552584,0.1905480342936663,0.15235796591057982,0.06320090759095384,0.6147576231732779,0.3133536685236634,0.6447434650498375,0.11337666085103885,0.1822222222222222,0.1822222222222222,0.0,0.0,0.1822222222222222,0.7722222222222223,0.4988888888888888,0.02299670169967265,0.003449505254950898,191,1738,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.05,0.0,0.5,0.5,15,0.012158206353599836,0.44124786670751587,0.06618718000612737,True
floor_proxy_penalized_s0016,100,15,0.15,3.933333333333333,14.797809662413492,13.526413070543414,0.3210634627843045,0.2361301550913701,0.15334500542752874,0.07875341444198994,0.6690967749527297,0.2740693450382323,0.6071265449329174,0.12356144017672974,0.1211111111111111,0.1211111111111111,0.0,0.0,0.1211111111111111,0.7244444444444444,0.5044444444444444,0.02363587075029122,0.0035453806125436836,188,1317,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.05,0.01,0.5,0.5,16,0.011089414408514279,0.48456169877044647,0.07268425481556696,True
floor_proxy_penalized_s0017,100,15,0.15,4.066666666666666,15.051789215886133,14.437554973756397,0.33716880277609373,0.27020448878903225,0.16635693807952273,0.09733734379801263,0.7130823885968425,0.2531784535629961,0.6104157187220911,0.1233678430978693,0.05777777777777778,0.05777777777777778,0.0,0.0,0.0611111111111111,0.7211111111111111,0.45444444444444443,0.023915640107868483,0.0035873460161802723,187,1110,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.05,0.05,0.5,0.5,17,0.01038957082917847,0.519312285373711,0.07789684280605665,True
floor_proxy_penalized_s0018,100,15,0.15,4.0,14.942360640429436,14.10455617226015,0.3334086807906265,0.2592485448489864,0.16207291470672203,0.0885996478474938,0.7156168993215826,0.25954824303532703,0.616256174562547,0.12333655632889842,0.07444444444444444,0.07444444444444444,0.0,0.0,0.07777777777777777,0.7277777777777779,0.45444444444444443,0.02388418741717232,0.003582628112575848,189,1303,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.1,0.0,0.5,0.5,18,0.010634861399964463,0.5082642919111416,0.07623964378667124,True
floor_proxy_penalized_s0019,100,15,0.15,4.0,14.942360640429436,14.10455617226015,0.3334086807906265,0.2592485448489864,0.16207291470672203,0.0885996478474938,0.7156168993215826,0.25954824303532703,0.616256174562547,0.12333655632889842,0.07444444444444444,0.07444444444444444,0.0,0.0,0.07777777777777777,0.7277777777777779,0.45444444444444443,0.02388418741717232,0.003582628112575848,188,1279,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.1,0.01,0.5,0.5,19,0.010634861399964463,0.5082642919111416,0.07623964378667124,True
floor_proxy_penalized_s0020,100,15,0.15,4.066666666666666,15.051789215886133,14.437554973756397,0.33716880277609373,0.27020448878903225,0.16635693807952273,0.09733734379801263,0.7130823885968425,0.2531784535629961,0.6104157187220911,0.1233678430978693,0.05777777777777778,0.05777777777777778,0.0,0.0,0.0611111111111111,0.7211111111111111,0.45444444444444443,0.023915640107868483,0.0035873460161802723,187,1101,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.1,0.05,0.5,0.5,20,0.01038957082917847,0.519312285373711,0.07789684280605665,True
floor_proxy_penalized_s0021,100,15,0.15,4.066666666666666,15.059120146774474,14.583375922590715,0.34169178872378564,0.2782054769953201,0.17015782452557884,0.09774871373757543,0.7216233586427591,0.2487166331690683,0.5954157187220912,0.12567655422076673,0.035555555555555556,0.035555555555555556,0.0,0.0,0.03888888888888888,0.6988888888888888,0.45444444444444443,0.02561364436445708,0.0038420466546685624,188,1108,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.2,0.0,0.5,0.5,21,0.010285684247338028,0.5350059936375131,0.08025089904562696,True
floor_proxy_penalized_s0022,100,15,0.15,4.066666666666666,15.059120146774474,14.583375922590715,0.34169178872378564,0.2782054769953201,0.17015782452557884,0.09774871373757543,0.7216233586427591,0.2487166331690683,0.5954157187220912,0.12567655422076673,0.035555555555555556,0.035555555555555556,0.0,0.0,0.03888888888888888,0.6988888888888888,0.45444444444444443,0.02561364436445708,0.0038420466546685624,187,1102,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.2,0.01,0.5,0.5,22,0.010285684247338028,0.5350059936375131,0.08025089904562696,True
floor_proxy_penalized_s0023,100,15,0.15,4.066666666666666,15.059120146774474,14.583375922590715,0.34169178872378564,0.2782054769953201,0.17015782452557884,0.09774871373757543,0.7216233586427591,0.2487166331690683,0.5954157187220912,0.12567655422076673,0.035555555555555556,0.035555555555555556,0.0,0.0,0.03888888888888888,0.6988888888888888,0.45444444444444443,0.02561364436445708,0.0038420466546685624,187,1020,floor_proxy_penalized,0.0,0.0,0.0,1.0,0.2,0.05,0.5,0.5,23,0.010285684247338028,0.5350059936375131,0.08025089904562696,True
floor_proxy_penalized_s0024,100,16,0.16,3.25,18.34621906183768,11.13540555879566,0.24768784107648378,0.13787347774244962,0.11830246363704341,0.028691034270620325,0.5003269823719824,0.38850025128960003,0.6558101765133015,0.1071384329430102,0.4364583333333333,0.4364583333333333,0.0,0.0,0.33229166666666665,0.765625,0.46249999999999997,0.02193569461162524,0.003509711137860039,191,1897,floor_proxy_penalized,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,24,0.014368583088886135,0.3443601882758986,0.05509763012414377,False
floor_proxy_penalized_s0025,100,15,0.15,3.6,20.287310401709785,12.591557714809726,0.303537612362514,0.20000218596075678,0.16368457912267964,0.06033285221440305,0.6018755603773778,0.31188745357082426,0.6009268079224218,0.11601060092766469,0.26,0.26,0.0,0.0,0.13777777777777775,0.6922222222222223,0.5333333333333333,0.025782162012480108,0.0038673243018720166,188,1322,floor_proxy_penalized,0.0,0.0,1.0,0.0,0.0,0.01,0.5,0.5,25,0.011912743712684215,0.4547373530166873,0.06821060295250309,False
