edge_id,src,dst,num_segments,num_episodes,num_unique_starts,num_unique_terminations,min_h,median_h,mean_h,max_h,num_unique_start_goal_pairs,num_unique_episodes,support_density_per_episode,support_count,reverse_support_raw,reverse_support_certified,reverse_support_count,asymmetry,src_density,dst_density,src_bottleneck_score,dst_bottleneck_score,edge_bottleneck_score,cost,cost_support_unit,repair_score,repair_reason,bank_edge_id,is_repair_edge
0,1,3,54,18,33,34,8,10.0,9.51851851851852,10,54,18,3.0,54,45,45,45,0.09090909090909,0.00907,0.0082,0.3167032095721405,0.4477987774953572,0.4477987774953572,10.174077655955696,unique_starts,,,,False
1,3,1,45,13,26,26,7,10.0,9.4,10,45,13,3.4615384615384617,45,54,54,54,-0.09090909090909,0.0082,0.00907,0.4477987774953572,0.3167032095721405,0.4477987774953572,10.196116135138183,unique_starts,,,,False
2,3,4,5792,65,1015,1076,1,7.0,6.835290055248619,10,5792,65,89.1076923076923,5792,4567,4567,4567,0.1182546577855005,0.0082,0.0091,0.4477987774953572,0.5708371775563242,0.5708371775563242,7.031388241028718,unique_starts,,,,False
3,3,5,71,22,42,42,7,10.0,9.43661971830986,10,71,22,3.227272727272727,71,66,66,66,0.0364963503649632,0.0082,0.00468,0.4477987774953572,0.2972332506137532,0.4477987774953572,10.154303349962092,unique_starts,,,,False
4,4,3,4567,42,895,807,1,7.0,6.783884388000876,10,4567,42,108.73809523809524,4567,5792,5792,5792,-0.1182546577855005,0.0091,0.0082,0.5708371775563242,0.4477987774953572,0.5708371775563242,7.033426313523244,unique_starts,,,,False
5,4,5,2574,51,462,454,1,7.0,6.859362859362859,10,2574,51,50.47058823529412,2574,1460,1460,1460,0.2761527020327218,0.0091,0.00468,0.5708371775563242,0.2972332506137532,0.5708371775563242,7.046524210519924,unique_starts,,,,False
6,4,6,50,17,30,30,7,10.0,9.44,10,50,17,2.9411764705882355,50,40,40,40,0.1111111111111098,0.0091,0.010255,0.5708371775563242,0.4942256235210543,0.5708371775563242,10.182574185835056,unique_starts,,,,False
7,4,26,13,4,8,8,8,10.0,9.538461538461538,10,13,4,3.25,13,8,8,8,0.2380952380952267,0.0091,0.00467,0.5708371775563242,0.6157022221184753,0.6157022221184753,10.353553390593271,unique_starts,,,,False
8,5,3,66,19,39,39,8,10.0,9.484848484848484,10,66,19,3.473684210526316,66,71,71,71,-0.0364963503649632,0.00468,0.0082,0.2972332506137532,0.4477987774953572,0.4477987774953572,10.160128153805086,unique_starts,,,,False
9,5,4,1460,31,262,255,1,7.0,6.765068493150685,10,1460,31,47.096774193548384,1460,2574,2574,2574,-0.2761527020327218,0.00468,0.0091,0.2972332506137532,0.5708371775563242,0.5708371775563242,7.061780206321521,unique_starts,,,,False
10,5,6,1744,37,340,290,1,7.0,6.744266055045872,10,1744,37,47.13513513513514,1744,1302,1302,1302,0.1451083388049901,0.00468,0.010255,0.2972332506137532,0.4942256235210543,0.4942256235210543,7.054232614454664,unique_starts,,,,False
11,5,7,42,13,26,25,8,10.0,9.5,10,42,13,3.230769230769231,42,59,59,59,-0.1683168316831666,0.00468,0.010105,0.2972332506137532,0.5426091782944411,0.5426091782944411,10.196116135138183,unique_starts,,,,False
12,5,26,417,20,103,108,1,8.0,7.611510791366906,10,417,20,20.85,417,216,216,216,0.3175355450236962,0.00468,0.00467,0.2972332506137532,0.6157022221184753,0.6157022221184753,8.098532927816429,unique_starts,,,,False
13,6,4,40,15,25,26,7,10.0,9.5,10,40,15,2.6666666666666665,40,50,50,50,-0.1111111111111098,0.010255,0.0091,0.4942256235210543,0.5708371775563242,0.5708371775563242,10.2,unique_starts,,,,False
14,6,5,1302,32,222,265,1,7.0,6.621351766513057,10,1302,32,40.6875,1302,1744,1744,1744,-0.1451083388049901,0.010255,0.00468,0.4942256235210543,0.2972332506137532,0.4942256235210543,7.067115605521402,unique_starts,,,,False
15,6,7,6148,59,1131,1149,1,7.0,6.756994144437216,10,6148,59,104.20338983050848,6148,5706,5706,5706,0.0372869917327484,0.010255,0.010105,0.4942256235210543,0.5426091782944411,0.5426091782944411,7.029735051672502,unique_starts,,,,False
16,6,8,33,13,22,22,8,10.0,9.606060606060606,10,33,13,2.5384615384615383,33,98,98,98,-0.4961832061068664,0.010255,0.00467,0.4942256235210543,0.442781173300534,0.4942256235210543,10.21320071635561,unique_starts,,,,False
17,6,26,837,26,148,194,1,7.0,6.442054958183991,10,837,26,32.19230769230769,837,884,884,884,-0.0273097036606623,0.010255,0.00467,0.4942256235210543,0.6157022221184753,0.6157022221184753,7.082199493652679,unique_starts,,,,False
18,6,27,100,8,42,25,2,8.0,7.57,10,100,8,12.5,100,329,329,329,-0.5337995337995325,0.010255,0.00359,0.4942256235210543,1.2483050882681392,1.2483050882681392,8.154303349962092,unique_starts,,,,False
19,7,5,59,13,31,31,7,10.0,9.322033898305085,10,59,13,4.538461538461538,59,42,42,42,0.1683168316831666,0.010105,0.00468,0.5426091782944411,0.2972332506137532,0.5426091782944411,10.179605302026776,unique_starts,,,,False
20,7,6,5706,56,1096,1062,1,7.0,6.741675429372591,10,5706,56,101.89285714285714,5706,6148,6148,6148,-0.0372869917327484,0.010105,0.010255,0.5426091782944411,0.4942256235210543,0.5426091782944411,7.030206104666509,unique_starts,,,,False
21,7,8,2059,42,347,392,1,7.0,6.834871296745993,10,2059,42,49.023809523809526,2059,1911,1911,1911,0.0372795969773299,0.010105,0.00467,0.5426091782944411,0.442781173300534,0.5426091782944411,7.053682812709502,unique_starts,,,,False
22,7,9,36,14,24,24,8,10.0,9.61111111111111,10,36,14,2.571428571428572,36,128,128,128,-0.5609756097560942,0.010105,0.01447,0.5426091782944411,0.8979178206761399,0.8979178206761399,10.204124145231932,unique_starts,,,,False
23,7,26,240,14,79,56,1,8.0,7.3375,10,240,14,17.142857142857142,240,319,319,319,-0.1413237924865829,0.010105,0.00467,0.5426091782944411,0.6157022221184753,0.6157022221184753,8.112508790092603,unique_starts,,,,False
24,7,27,832,31,183,219,1,6.0,6.152644230769231,10,832,31,26.83870967741936,832,626,626,626,0.1412894375857337,0.010105,0.00359,0.5426091782944411,1.2483050882681392,1.2483050882681392,6.073922127095457,unique_starts,,,,False
25,8,6,98,25,53,55,7,10.0,9.33673469387755,10,98,25,3.92,98,33,33,33,0.4961832061068664,0.00467,0.010255,0.442781173300534,0.4942256235210543,0.4942256235210543,10.13736056394869,unique_starts,,,,False
26,8,7,1911,50,382,334,1,7.0,6.5646258503401365,10,1911,50,38.22,1911,2059,2059,2059,-0.0372795969773299,0.00467,0.010105,0.442781173300534,0.5426091782944411,0.5426091782944411,7.051164451009665,unique_starts,,,,False
27,8,9,2161,43,394,379,1,7.0,6.850069412309116,10,2161,43,50.25581395348837,2161,2461,2461,2461,-0.0649069666810904,0.00467,0.01447,0.442781173300534,0.8979178206761399,0.8979178206761399,7.050379272185988,unique_starts,,,,False
28,8,10,67,19,38,38,7,10.0,9.388059701492535,10,67,19,3.526315789473684,67,103,103,103,-0.2117647058823517,0.00467,0.010545,0.442781173300534,0.6435638621308869,0.6435638621308869,10.162221421130765,unique_starts,,,,False
29,8,26,23,5,12,12,7,10.0,9.304347826086955,10,23,5,4.6,23,6,6,6,0.586206896551704,0.00467,0.00467,0.442781173300534,0.6157022221184753,0.6157022221184753,10.288675134594811,unique_starts,,,,False
