edge_id,src,dst,num_segments,num_episodes,num_unique_starts,num_unique_terminations,min_h,median_h,mean_h,max_h,num_unique_start_goal_pairs,num_unique_episodes,support_density_per_episode,support_count,reverse_support_raw,reverse_support_certified,reverse_support_count,asymmetry,src_density,dst_density,src_bottleneck_score,dst_bottleneck_score,edge_bottleneck_score,cost,cost_support_unit,repair_score,repair_reason
570,9,179,104,82,104,102,1,1.0,1.1826923076923077,2,104,82,1.2682926829268293,104,0,0,0,0.9999999999999905,0.00098,0.00165,0.3373667719536545,0.5689519284458886,0.5689519284458886,1.098058067569092,unique_starts,4.603900423800438,low_compatibility_junction
24262,498,179,97,73,96,88,1,1.0,1.1443298969072164,2,97,73,1.3287671232876712,97,0,0,0,0.9999999999999898,0.000995,0.00165,0.2851821951638178,0.5689519284458886,0.5689519284458886,1.1020620726159658,unique_starts,4.5972583376758935,low_compatibility_junction
9701,198,179,93,76,93,89,1,1.0,1.1397849462365592,2,93,76,1.2236842105263157,93,0,0,0,0.9999999999999892,0.000925,0.00165,0.2201931557697727,0.5689519284458886,0.5689519284458886,1.1036951694730426,unique_starts,4.596189432805955,low_compatibility_junction
23612,483,179,52,35,52,46,1,1.0,1.1346153846153846,2,52,35,1.4857142857142858,52,0,0,0,0.9999999999999808,0.000865,0.00165,0.1748735293734645,0.5689519284458886,0.5689519284458886,1.1386750490563071,unique_starts,4.547546684469869,low_compatibility_junction
20539,418,179,20,19,20,20,1,1.0,1.0,1,20,19,1.0526315789473684,20,2,0,0,0.99999999999995,0.00083,0.00165,0.2446711972096289,0.5689519284458886,0.5689519284458886,1.223606797749979,unique_starts,4.483976574350041,low_compatibility_junction
8869,179,253,166,52,58,166,1,2.0,2.1204819277108435,5,166,52,3.1923076923076925,166,0,0,0,0.999999999999994,0.00165,0.00182,0.5689519284458886,0.3349812054066116,0.5689519284458886,2.1313064328597227,unique_starts,4.468943759850985,low_compatibility_junction
8833,179,129,165,41,63,162,1,2.0,2.0242424242424244,4,165,41,4.024390243902439,165,0,0,0,0.999999999999994,0.00165,0.001675,0.5689519284458886,0.2781012520811582,0.5689519284458886,2.1259881576697426,unique_starts,4.46521460239845,low_compatibility_junction
8889,179,313,161,37,57,161,1,2.0,2.0559006211180124,5,161,37,4.351351351351352,161,1,0,0,0.9999999999999938,0.00165,0.001605,0.5689519284458886,0.2741790954059527,0.5689519284458886,2.1324532357065045,unique_starts,4.459819955578601,low_compatibility_junction
8863,179,245,103,36,43,103,1,2.0,1.8932038834951457,4,103,36,2.861111111111111,103,0,0,0,0.9999999999999905,0.00165,0.00107,0.5689519284458886,0.2598425195711545,0.5689519284458886,2.1524985703326047,unique_starts,4.439273384701827,low_compatibility_junction
8944,179,488,125,26,45,125,1,2.0,2.04,4,125,26,4.807692307692308,125,0,0,0,0.999999999999992,0.00165,0.001465,0.5689519284458886,0.2972149109456293,0.5689519284458886,2.149071198499986,unique_starts,4.43874869100924,low_compatibility_junction
8798,179,13,152,83,120,152,2,4.0,3.7960526315789473,6,152,83,1.8313253012048192,152,0,0,0,0.9999999999999934,0.00165,0.001505,0.5689519284458886,0.3708333926728763,0.5689519284458886,4.091287092917527,unique_starts,4.431426607712528,low_compatibility_junction
8866,179,250,9,9,9,9,1,1.0,1.0,1,9,9,1.0,9,1,0,0,0.9999999999998888,0.00165,0.0009,0.5689519284458886,0.2654787152109319,0.5689519284458886,1.3333333333333333,unique_starts,4.427822661461606,low_compatibility_junction
8870,179,256,165,95,117,164,5,6.0,6.351515151515152,8,165,95,1.736842105263158,165,4,4,4,0.9526627218934856,0.00165,0.001515,0.5689519284458886,0.3647150343847177,0.5689519284458886,6.092450032704205,unique_starts,4.41560921489755,low_compatibility_junction
8895,179,333,151,71,89,149,3,5.0,5.2052980132450335,7,151,71,2.126760563380281,151,3,3,3,0.9610389610389548,0.00165,0.00127,0.5689519284458886,0.2675847245479855,0.5689519284458886,5.105999788000636,unique_starts,4.408173494475175,low_compatibility_junction
8913,179,392,103,62,84,103,3,4.0,4.009708737864078,6,103,62,1.6612903225806452,103,0,0,0,0.9999999999999905,0.00165,0.001005,0.5689519284458886,0.2371556138550891,0.5689519284458886,4.109108945117996,unique_starts,4.404691141370876,low_compatibility_junction
8937,179,472,110,68,88,110,3,5.0,4.727272727272728,6,110,68,1.6176470588235294,110,3,3,3,0.9469026548672485,0.00165,0.001335,0.5689519284458886,0.3274570491956351,0.5689519284458886,5.106600358177805,unique_starts,4.397378265701942,low_compatibility_junction
8894,179,322,121,53,77,121,3,5.0,4.900826446280992,7,121,53,2.2830188679245285,121,1,0,0,0.9999999999999918,0.00165,0.001085,0.5689519284458886,0.2523131953995401,0.5689519284458886,5.113960576459638,unique_starts,4.3914038412651815,low_compatibility_junction
8842,179,158,100,48,67,100,3,5.0,4.77,6,100,48,2.083333333333333,100,3,3,3,0.9417475728155248,0.00165,0.000985,0.5689519284458886,0.2381968228714805,0.5689519284458886,5.122169444356305,unique_starts,4.380178683054425,low_compatibility_junction
8902,179,353,107,39,69,107,4,6.0,6.196261682242991,8,107,39,2.743589743589744,107,10,10,10,0.829059829059822,0.00165,0.00139,0.5689519284458886,0.3641159876883401,0.5689519284458886,6.120385853085769,unique_starts,4.36979935010514,low_compatibility_junction
7433,155,179,105,13,105,14,2,7.0,7.3619047619047615,13,105,13,8.076923076923077,105,10,10,10,0.826086956521732,0.00202,0.00165,0.3251159532500225,0.5689519284458886,0.5689519284458886,7.097590007294853,unique_starts,4.3483940227992415,low_compatibility_junction
17479,354,179,74,13,74,13,2,5.0,6.864864864864865,25,74,13,5.6923076923076925,74,24,24,24,0.5102040816326479,0.002235,0.00165,0.3571416474923607,0.5689519284458886,0.5689519284458886,5.116247638743819,unique_starts,4.344074331324979,low_compatibility_junction
12608,257,179,99,8,99,9,2,7.0,8.070707070707071,22,99,8,12.375,99,49,49,49,0.3378378378378355,0.002185,0.00165,0.3208565710135754,0.5689519284458886,0.5689519284458886,7.100503781525921,unique_starts,4.334900671006567,low_compatibility_junction
7360,153,179,85,15,85,15,7,13.0,13.03529411764706,23,85,15,5.666666666666667,85,0,0,0,0.9999999999999885,0.00198,0.00165,0.2913122187409044,0.5689519284458886,0.5689519284458886,13.108465228909328,unique_starts,4.323796353020401,low_compatibility_junction
22844,471,179,63,9,63,9,2,6.0,6.936507936507937,25,63,9,7.0,63,69,69,69,-0.0454545454545451,0.002075,0.00165,0.3571105534487123,0.5689519284458886,0.5689519284458886,6.125988157669743,unique_starts,4.319321903439095,low_compatibility_junction
8803,179,36,114,20,23,114,9,13.0,13.578947368421051,25,114,20,5.7,114,36,36,36,0.5199999999999966,0.00165,0.0019,0.5689519284458886,0.3479752748901155,0.5689519284458886,13.208514414057074,unique_starts,4.309061663446525,low_compatibility_junction
12123,249,179,56,7,56,7,1,6.0,6.410714285714286,25,56,7,8.0,56,30,30,30,0.3023255813953453,0.001305,0.00165,0.1401594300005563,0.5689519284458886,0.5689519284458886,6.133630620956212,unique_starts,4.307860382413438,low_compatibility_junction
