edge_id,src,dst,num_segments,num_episodes,num_unique_starts,num_unique_terminations,min_h,median_h,mean_h,max_h,num_unique_start_goal_pairs,num_unique_episodes,support_density_per_episode,support_count,reverse_support_raw,reverse_support_certified,reverse_support_count,asymmetry,src_density,dst_density,src_bottleneck_score,dst_bottleneck_score,edge_bottleneck_score,cost,cost_support_unit,repair_score,repair_reason,bank_edge_id,is_repair_edge
0,1,56,14,4,4,14,1,2.5,2.571428571428572,5,14,4,3.5,14,0,0,0,0.9999999999999286,0.002275,0.003085,0.4893322919199351,0.5476821446904186,0.5476821446904186,3.0,unique_starts,,,,False
1,1,196,28,7,15,15,1,2.0,2.642857142857143,5,28,7,4.0,28,130,130,130,-0.6455696202531604,0.002275,0.00287,0.4893322919199351,0.3938063547620109,0.4893322919199351,2.258198889747161,unique_starts,,,,False
2,1,203,139,14,57,57,1,4.0,3.971223021582734,5,139,14,9.928571428571429,139,0,0,0,0.9999999999999928,0.002275,0.00251,0.4893322919199351,0.3239805318900079,0.4893322919199351,4.132453235706504,unique_starts,,,,False
3,1,207,28,6,11,19,1,4.0,3.607142857142857,5,28,6,4.666666666666667,28,0,0,0,0.9999999999999644,0.002275,0.002905,0.4893322919199351,0.5763715552336803,0.5763715552336803,4.301511344577763,unique_starts,,,,False
4,1,222,117,11,36,61,1,3.0,3.264957264957265,5,117,11,10.636363636363637,117,178,178,178,-0.2067796610169484,0.002275,0.00284,0.4893322919199351,0.3689173556983551,0.4893322919199351,3.1666666666666665,unique_starts,,,,False
5,1,263,18,3,8,8,1,4.0,3.7222222222222223,5,18,3,6.0,18,0,0,0,0.9999999999999444,0.002275,0.00213,0.4893322919199351,0.4677694417137528,0.4893322919199351,4.353553390593274,unique_starts,,,,False
6,1,271,6,4,4,6,1,1.0,1.3333333333333333,2,6,4,1.5,6,13,13,13,-0.3684210526315596,0.002275,0.002355,0.4893322919199351,0.7393293140999965,0.7393293140999965,1.5,unique_starts,,,,False
7,1,297,5,2,2,5,1,2.0,2.2,4,5,2,2.5,5,7,7,7,-0.1666666666666527,0.002275,0.001635,0.4893322919199351,0.4467015809554916,0.4893322919199351,2.7071067811865475,unique_starts,,,,False
8,1,299,50,3,17,20,1,4.0,3.6,5,50,3,16.666666666666668,50,250,250,250,-0.6666666666666644,0.002275,0.002525,0.4893322919199351,0.1372655704733323,0.4893322919199351,4.242535625036333,unique_starts,,,,False
9,1,303,10,2,10,2,1,3.0,3.0,5,10,2,5.0,10,0,0,0,0.9999999999999,0.002275,0.00247,0.4893322919199351,0.3262160334887899,0.4893322919199351,3.316227766016838,unique_starts,,,,False
10,1,355,3,2,2,3,1,1.0,1.3333333333333333,2,3,2,1.5,3,10,10,10,-0.538461538461497,0.002275,0.00217,0.4893322919199351,0.4726666291061638,0.4893322919199351,1.7071067811865477,unique_starts,,,,False
11,1,362,163,13,71,52,1,4.0,3.423312883435583,5,163,13,12.538461538461538,163,0,0,0,0.999999999999994,0.002275,0.002515,0.4893322919199351,0.4609907049812,0.4893322919199351,4.118678165819385,unique_starts,,,,False
12,1,429,160,22,39,115,1,3.0,3.23125,5,160,22,7.272727272727272,160,18,18,18,0.7977528089887596,0.002275,0.0033,0.4893322919199351,0.7518556148223536,0.7518556148223536,3.160128153805087,unique_starts,,,,False
13,2,21,60,13,60,17,2,4.0,3.633333333333333,5,60,13,4.615384615384615,60,0,0,0,0.9999999999999832,0.00384,0.001335,0.3501472844367674,0.4639109568303375,0.4639109568303375,4.129099444873581,unique_starts,,,,False
14,2,31,104,20,72,49,3,4.0,4.298076923076923,5,104,20,5.2,104,0,0,0,0.9999999999999905,0.00384,0.001575,0.3501472844367674,0.4912104972650528,0.4912104972650528,4.117851130197758,unique_starts,,,,False
15,2,43,13,6,10,9,3,5.0,4.615384615384615,5,13,6,2.1666666666666665,13,0,0,0,0.9999999999999232,0.00384,0.00192,0.3501472844367674,0.6987109017675688,0.6987109017675688,5.316227766016838,unique_starts,,,,False
16,2,61,124,20,112,29,1,3.0,3.225806451612903,5,124,20,6.2,124,0,0,0,0.999999999999992,0.00384,0.0015,0.3501472844367674,0.4683824714458353,0.4683824714458353,3.0944911182523067,unique_starts,,,,False
17,2,74,29,13,25,22,4,5.0,4.758620689655173,5,29,13,2.230769230769231,29,7,7,7,0.6111111111110941,0.00384,0.001315,0.3501472844367674,0.4908567732544501,0.4908567732544501,5.2,unique_starts,,,,False
18,2,126,80,6,32,26,1,4.0,3.5625,5,80,6,13.333333333333334,80,161,161,161,-0.3360995850622393,0.00384,0.00242,0.3501472844367674,0.2116988222299249,0.3501472844367674,4.1767766952966365,unique_starts,,,,False
19,2,144,58,6,26,19,1,3.0,3.2586206896551726,5,58,6,9.666666666666666,58,35,35,35,0.2473118279569866,0.00384,0.00326,0.3501472844367674,0.3341156701216954,0.3501472844367674,3.196116135138184,unique_starts,,,,False
20,2,175,73,6,36,28,1,3.0,3.054794520547945,5,73,6,12.166666666666666,73,19,19,19,0.586956521739124,0.00384,0.00503,0.3501472844367674,0.8135368683831736,0.8135368683831736,3.1666666666666665,unique_starts,,,,False
21,2,179,26,8,26,8,2,4.0,3.769230769230769,5,26,8,3.25,26,0,0,0,0.9999999999999616,0.00384,0.00165,0.3501472844367674,0.5564168064445675,0.5564168064445675,4.196116135138184,unique_starts,,,,False
22,2,186,8,3,8,3,3,4.0,4.125,5,8,3,2.6666666666666665,8,0,0,0,0.999999999999875,0.00384,0.00126,0.3501472844367674,0.4311592250200514,0.4311592250200514,4.353553390593274,unique_starts,,,,False
23,2,313,7,3,7,3,3,4.0,4.285714285714286,5,7,3,2.333333333333333,7,0,0,0,0.9999999999998572,0.00384,0.001605,0.3501472844367674,0.5515643026284701,0.5515643026284701,4.377964473009227,unique_starts,,,,False
24,2,488,90,17,52,46,3,5.0,4.366666666666666,5,90,17,5.294117647058823,90,5,5,5,0.8947368421052538,0.00384,0.001465,0.3501472844367674,0.5517834882014472,0.5517834882014472,5.138675049056308,unique_starts,,,,False
25,3,57,75,6,32,22,1,4.0,3.4,5,75,6,12.5,75,0,0,0,0.9999999999999868,0.003565,0.002505,0.6286217318491387,0.3859177915559212,0.6286217318491387,4.1767766952966365,unique_starts,,,,False
26,3,206,361,30,154,143,1,4.0,3.867036011080332,5,361,30,12.033333333333331,361,0,0,0,0.9999999999999972,0.003565,0.002645,0.6286217318491387,0.4492581161559782,0.6286217318491387,4.080582296402538,unique_starts,,,,False
27,3,406,685,35,246,246,1,4.0,3.554744525547445,5,685,35,19.571428571428573,685,0,0,0,0.9999999999999986,0.003565,0.002805,0.6286217318491387,0.5172113057375602,0.6286217318491387,4.063757671306334,unique_starts,,,,False
28,4,63,186,9,63,68,1,4.0,3.639784946236559,5,186,9,20.666666666666668,186,0,0,0,0.9999999999999948,0.0034,0.00318,0.3011288745526443,0.4193809362318285,0.4193809362318285,4.125988157669743,unique_starts,,,,False
29,4,138,18,2,9,5,1,3.5,3.333333333333333,5,18,2,9.0,18,0,0,0,0.9999999999999444,0.0034,0.002785,0.3011288745526443,0.302241120323841,0.302241120323841,3.8333333333333335,unique_starts,,,,False
30,6,13,6,5,6,6,5,5.0,5.0,5,6,5,1.2,6,36,36,36,-0.7142857142856972,0.003095,0.001505,0.4215200937307808,0.554199568997198,0.554199568997198,5.408248290463863,unique_starts,,,,False
31,6,21,38,11,38,11,2,3.0,3.473684210526316,5,38,11,3.4545454545454546,38,0,0,0,0.9999999999999736,0.003095,0.001335,0.4215200937307808,0.4639109568303375,0.4639109568303375,3.1622214211307624,unique_starts,,,,False
32,6,125,26,3,13,9,1,4.0,3.692307692307693,5,26,3,8.666666666666666,26,88,88,88,-0.5438596491228023,0.003095,0.004175,0.4215200937307808,0.2381126580151028,0.4215200937307808,4.277350098112614,unique_starts,,,,False
33,6,156,23,15,21,21,4,5.0,4.913043478260869,5,23,15,1.5333333333333334,23,0,0,0,0.9999999999999566,0.003095,0.001425,0.4215200937307808,0.4892239201535476,0.4892239201535476,5.218217890235993,unique_starts,,,,False
34,6,179,80,19,80,23,2,3.0,3.4875,5,80,19,4.2105263157894735,80,0,0,0,0.9999999999999876,0.003095,0.00165,0.4215200937307808,0.5564168064445675,0.5564168064445675,3.1118033988749896,unique_starts,,,,False
35,6,186,40,8,34,11,2,4.0,3.575,5,40,8,5.0,40,0,0,0,0.9999999999999748,0.003095,0.00126,0.4215200937307808,0.4311592250200514,0.4311592250200514,4.171498585142508,unique_starts,,,,False
36,6,243,6,4,6,4,1,1.0,1.3333333333333333,2,6,4,1.5,6,5,5,5,0.0909090909090826,0.003095,0.002845,0.4215200937307808,0.513207298120322,0.513207298120322,1.4082482904638631,unique_starts,,,,False
