edge_id,bank_edge_id,src,dst,repair_score,repair_reason,edge_action_mse,num_policy_eval_samples,edge_action_mse_ucb,direct_edge_policy_support_score,src_edge,dst_edge,is_repair_edge,num_unique_starts,num_unique_episodes,edge_bottleneck_score,median_h,num_segments,repair_reason_edge,planner_usage_count,used_by_planner,mean_endpoint_compatibility,support_group,bottleneck_group,horizon_group,compatibility_group,planner_usage_group
582,943,234,233,4.460883069347467,low_compatibility_junction,0.0714268860006762,1306,0.08592178992799929,0.23965911486876987,234,233,True,418,52,1.1619791581108354,7.0,2416,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
583,752,211,231,4.4213159674608455,low_compatibility_junction,0.07527679571563878,205,0.11283542230558369,0.2218983434629507,211,231,True,130,20,1.1411627055128797,6.0,429,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
584,936,233,253,4.402279997790131,low_compatibility_junction,0.06130499867457191,597,0.08116671841554779,0.29343475228997146,233,253,True,219,24,1.1619791581108354,7.0,1083,low_compatibility_junction,2.0,True,,high_support,high_bottleneck,short_horizon,unknown,planner_used
585,1005,253,233,4.385194410514464,low_compatibility_junction,0.09345002418545925,460,0.12138619416784013,0.15427778793887006,253,233,True,168,20,1.1619791581108354,7.0,878,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
586,933,233,234,4.383065754567198,low_compatibility_junction,0.06928551300957914,389,0.09544338976090946,0.25014606788711835,233,234,True,174,20,1.1619791581108354,7.0,798,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
587,906,231,211,4.32543235901791,low_compatibility_junction,0.06339585333346175,26,0.160179019019567,0.28141718495653445,231,211,True,22,8,1.1411627055128797,4.0,74,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,short_horizon,unknown,not_planner_used
588,912,231,251,4.302977421265303,low_compatibility_junction,0.0952389296144247,58,0.1746624855754625,0.1488555967508781,231,251,True,28,3,1.1411627055128797,7.0,134,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,short_horizon,unknown,not_planner_used
589,994,251,231,4.236221627501172,low_compatibility_junction,0.09111945206920306,12,0.26191281822380774,0.16163912672412348,251,231,True,7,2,1.1411627055128797,3.5,16,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,short_horizon,unknown,not_planner_used
590,926,233,211,4.094424173755554,low_compatibility_junction,0.08976196870207787,2,0.5049905677688463,0.16608769050631725,233,211,True,4,3,1.1619791581108354,10.0,5,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
591,940,234,214,4.036131008399644,low_compatibility_junction,0.07443601528130886,72,0.13745644806843005,0.22566124827461212,234,214,True,54,13,0.4101470785549331,5.0,214,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
592,775,214,234,4.0249684988686125,low_compatibility_junction,0.06608611565316096,80,0.12241954510375264,0.26667560732830237,214,234,True,48,10,0.4101470785549331,5.0,197,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
593,880,228,207,3.942475400990333,low_compatibility_junction,0.07929688907676825,189,0.11944390258376222,0.20475568695158458,228,207,True,91,17,1.3972225133438927,8.0,328,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,long_horizon,unknown,not_planner_used
594,719,207,228,3.7708829816634815,low_compatibility_junction,0.06781074624847282,11,0.22170024697963003,0.25763409813652866,207,228,True,10,5,1.3972225133438927,9.0,17,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
595,698,205,225,3.766717897002016,low_compatibility_junction,0.09851068171607975,101,0.15972274896621086,0.13942706662633425,205,225,True,63,16,0.5395771851089068,5.0,221,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
596,859,225,205,3.7509826855382697,low_compatibility_junction,0.0909433901362436,71,0.16109093359130827,0.16220929993482086,225,205,True,45,13,0.5395771851089068,5.0,200,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
597,716,207,225,3.7184793175113584,low_compatibility_junction,0.037464082861940064,6,0.19234146485730488,0.47270599573842215,207,225,True,5,3,1.3972225133438927,10.0,7,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
598,861,225,207,3.6940767947578688,low_compatibility_junction,0.06793700531125069,6,0.2764982671360443,0.2569843460572716,225,207,True,3,3,1.3972225133438927,10.0,4,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
599,62,8,28,3.537516174527053,low_compatibility_junction,0.0812167210135398,106,0.13546998414865163,0.19704277924891098,8,28,True,100,20,0.442781173300534,4.0,284,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
600,726,208,228,3.502075048789352,low_compatibility_junction,0.08167146447256868,203,0.12098510153031838,0.19525882565780348,208,228,True,109,15,0.901984607927955,6.0,412,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
601,140,25,26,3.4935009873424208,low_compatibility_junction,0.09169295220880916,380,0.12213909297217242,0.15979571765289055,25,26,True,115,17,0.6157022221184753,7.0,733,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
602,149,26,25,3.4869330766008666,low_compatibility_junction,0.07340426795626823,278,0.10525316004483333,0.23036613162401084,26,25,True,126,15,0.6157022221184753,7.0,606,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
603,166,28,8,3.4845309759571994,low_compatibility_junction,0.06252397778066429,37,0.14309493241612997,0.2863674348156247,28,8,True,41,14,0.442781173300534,4.0,132,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
604,707,206,225,3.458887984098197,low_compatibility_junction,0.06531437214524034,124,0.1102974955068318,0.27082364052845354,206,225,True,75,14,1.067174264901552,8.0,239,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,long_horizon,unknown,not_planner_used
605,881,228,208,3.433957094531214,low_compatibility_junction,0.06395090155835663,70,0.123192993667959,0.27831045851101377,228,208,True,37,7,0.901984607927955,5.0,137,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,short_horizon,unknown,not_planner_used
606,860,225,206,3.423668817243619,low_compatibility_junction,0.08484890309839764,88,0.14570973037734056,0.183236417325746,225,206,True,42,10,1.067174264901552,8.0,152,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
607,179,30,8,3.344725474792826,low_compatibility_junction,0.06929559307172894,16,0.19828346806981595,0.2500956432119111,30,8,True,13,6,0.442781173300534,10.0,20,low_compatibility_junction,2.0,True,,low_support,low_bottleneck,long_horizon,unknown,planner_used
608,151,26,45,3.3144922565484216,low_compatibility_junction,0.076435805298388,13,0.22672675124459835,0.2168138547103956,26,45,True,20,2,0.6157022221184753,6.0,28,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
609,168,28,26,3.3031213067361658,low_compatibility_junction,0.06621753564104438,18,0.18509685935459388,0.2659755975823484,28,26,True,14,5,0.6157022221184753,9.5,24,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
610,879,228,206,3.2904367095221567,low_compatibility_junction,0.0630379549360701,14,0.19455835196427873,0.2834387867953618,228,206,True,8,4,1.067174264901552,10.0,15,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
611,739,210,211,3.268332021806874,low_compatibility_junction,0.08679586675223498,1079,0.10437489529215196,0.17623845639873587,210,211,True,361,41,0.665031004775942,7.0,1969,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
612,148,26,24,3.238144204930516,low_compatibility_junction,0.05051085618989808,7,0.2170051740419379,0.36413990754790876,26,24,True,5,3,0.6157022221184753,10.0,8,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
613,154,26,66,3.2208355193803717,low_compatibility_junction,0.059247810393571854,2,0.39659510059162995,0.3057595690678887,26,66,True,4,4,0.6157022221184753,10.0,4,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
614,134,24,26,3.2149277662467,low_compatibility_junction,0.10712673390905063,6,0.36902304322026414,0.11735700348143176,24,26,True,3,2,0.6157022221184753,9.5,6,low_compatibility_junction,3.0,True,,low_support,low_bottleneck,long_horizon,unknown,planner_used
615,320,66,26,3.2031404269547314,low_compatibility_junction,0.05642663836479187,5,0.26464218722807176,0.32350756925917035,66,26,True,3,2,0.6157022221184753,10.0,4,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
616,753,211,232,3.202386859425884,low_compatibility_junction,0.08046697779206938,241,0.11628127185572593,0.20001967228597622,211,232,True,105,18,1.0962254186468878,8.0,442,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,long_horizon,unknown,not_planner_used
617,1004,253,232,3.168898774895476,low_compatibility_junction,0.08432721700267615,148,0.13111248241511886,0.18515826371940897,253,232,True,66,13,1.0962254186468878,8.0,272,low_compatibility_junction,1.0,True,,high_support,high_bottleneck,long_horizon,unknown,planner_used
618,747,211,210,3.1442942288416496,low_compatibility_junction,0.06298828617631715,221,0.09607775765839932,0.28372048774968706,211,210,True,70,9,0.665031004775942,7.0,392,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
619,84,11,30,3.127496854898879,low_compatibility_junction,0.06472225562432167,161,0.1040202110344775,0.2740498890107531,11,30,True,96,19,0.4773074013808554,8.0,308,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,long_horizon,unknown,not_planner_used
620,942,234,232,3.1244197993640235,low_compatibility_junction,0.06835213947889147,49,0.14155601734847628,0.25485951949255065,234,232,True,43,21,1.0962254186468878,10.0,77,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
621,925,232,253,3.1018555309565845,low_compatibility_junction,0.05562975216971736,71,0.11049286683886284,0.32870484997720084,232,253,True,27,5,1.0962254186468878,8.0,119,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
622,915,232,211,3.092709647810465,low_compatibility_junction,0.06960103166504548,52,0.14130814471802688,0.2485725229165034,232,211,True,26,5,1.0962254186468878,8.0,91,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
623,801,217,237,3.0752982048729454,low_compatibility_junction,0.06435990769585426,220,0.0978836456494836,0.2760431309497402,217,237,True,123,32,0.5697363003069251,5.0,520,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
624,748,211,212,3.0479415958897467,low_compatibility_junction,0.09274340516680644,648,0.11619163634100743,0.15647357965709102,211,212,True,238,27,0.5858748306458231,7.0,1250,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
625,923,232,251,3.023248127942754,low_compatibility_junction,0.11299598217010498,16,0.27770886970184067,0.10435887034162326,232,251,True,8,2,1.0962254186468878,7.5,36,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
626,834,222,202,3.0216882892179253,low_compatibility_junction,0.06187342778735218,105,0.10945223060940651,0.2901177059547643,222,202,True,68,14,0.9050989791035348,5.0,223,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
627,922,232,234,3.0060582346239597,low_compatibility_junction,0.05304589681327343,5,0.25492760336335746,0.34613793189576514,232,234,True,9,7,1.0962254186468878,10.0,11,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
628,673,202,222,2.9956343300591346,low_compatibility_junction,0.12111875908197584,37,0.23325885303897356,0.08871066309288445,202,222,True,37,10,0.9050989791035348,4.0,130,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,short_horizon,unknown,not_planner_used
629,965,237,217,2.9866990155136675,low_compatibility_junction,0.1190670597035501,59,0.2071163541171426,0.09242653242737789,237,217,True,40,11,0.5697363003069251,5.0,155,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
630,783,215,234,2.97308550594528,low_compatibility_junction,0.06930702260614141,149,0.1115789021355799,0.2500384802104149,215,234,True,65,13,0.6704601283040799,8.0,238,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,long_horizon,unknown,not_planner_used
631,941,234,215,2.969363655936864,low_compatibility_junction,0.0722921693710782,141,0.11667266456421664,0.23554733510001571,234,215,True,62,10,0.6704601283040799,8.0,264,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
632,755,212,211,2.967748517531984,low_compatibility_junction,0.06426140484586358,250,0.09568538376998263,0.2765874876829549,212,211,True,79,11,0.5858748306458231,7.0,427,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
633,741,210,228,2.965379845227826,low_compatibility_junction,0.05610850796495613,19,0.16261930410619627,0.32557248325938476,210,228,True,8,5,0.665031004775942,10.0,12,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
634,794,217,197,2.9368052016134207,low_compatibility_junction,0.10767725277214478,39,0.21066504570692024,0.11607194606435547,217,197,True,40,5,0.5697363003069251,7.0,84,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
635,883,228,210,2.919388335073408,low_compatibility_junction,0.10730936626593272,6,0.36942882422585066,0.11692912168491983,228,210,True,4,2,0.665031004775942,10.0,7,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
636,169,28,27,2.889724551108743,low_compatibility_junction,0.08101457991298137,346,0.11100617845688718,0.1978410005801798,28,27,True,120,20,1.2483050882681392,7.0,675,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
637,668,201,222,2.852854603211168,low_compatibility_junction,0.06394501235336066,20,0.17477171478934184,0.27834324098845703,201,222,True,9,2,0.9050989791035348,8.0,27,low_compatibility_junction,2.0,True,,low_support,high_bottleneck,long_horizon,unknown,planner_used
638,646,197,217,2.8445346959162072,low_compatibility_junction,0.15236773628454942,13,0.3645606629611807,0.047484367579808555,197,217,True,6,2,0.5697363003069251,6.5,26,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
639,968,237,236,2.839300998065715,low_compatibility_junction,0.062295185200056336,966,0.07803482353029127,0.28768081232251697,237,236,True,285,44,0.6119887066641122,7.0,1828,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
640,552,146,147,2.8383516299758,low_compatibility_junction,0.08040846710614229,295,0.11276753139228055,0.2002538750573851,146,147,True,208,34,1.2918859947622392,5.0,816,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
641,837,222,220,2.82658870749245,low_compatibility_junction,0.05494560029071111,13,0.18236948951235157,0.3332334425881948,222,220,True,7,3,0.9050989791035348,10.0,13,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
642,560,147,146,2.8259951274922352,low_compatibility_junction,0.07977343282093191,360,0.10894998445656771,0.20281345639808102,147,146,True,179,34,1.2918859947622392,6.0,805,low_compatibility_junction,1.0,True,,high_support,high_bottleneck,short_horizon,unknown,planner_used
643,814,219,217,2.813593524516248,low_compatibility_junction,0.042061534523963925,5,0.2218300473549154,0.43117954819818977,219,217,True,6,5,0.5697363003069251,10.0,8,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
644,551,146,145,2.7963443187406667,low_compatibility_junction,0.0713244772411604,374,0.09839144271025066,0.24015048175293346,146,145,True,141,18,1.2918859947622392,7.0,725,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
645,952,235,234,2.7932036967263247,low_compatibility_junction,0.06307196445083497,1110,0.07784646337937683,0.28324606003613884,235,234,True,380,47,0.7237432083932548,7.0,2177,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
646,822,220,222,2.788888245465686,low_compatibility_junction,0.04018121833602587,3,0.2670146141427846,0.44770337881123107,220,222,True,4,3,0.9050989791035348,10.0,5,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
647,976,239,217,2.7650980994433194,low_compatibility_junction,0.1124580018222332,4,0.4410986337442047,0.10548779326128942,239,217,True,3,2,0.5697363003069251,10.0,4,low_compatibility_junction,2.0,True,,low_support,low_bottleneck,long_horizon,unknown,planner_used
648,161,27,28,2.75970406328402,low_compatibility_junction,0.06929769098871585,66,0.13280789175638194,0.25008514983409,27,28,True,21,4,1.2483050882681392,7.0,117,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,short_horizon,unknown,not_planner_used
649,543,145,146,2.7583722267618778,low_compatibility_junction,0.10381413895557536,235,0.1450096972893682,0.12539546958948353,145,146,True,88,10,1.2918859947622392,7.0,469,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
650,938,234,212,2.7578730549974875,low_compatibility_junction,0.0657420722146829,15,0.19549947267670556,0.26851689475008134,234,212,True,6,3,0.5858748306458231,10.0,10,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
651,39,5,25,2.752048822261973,low_compatibility_junction,0.09297544017135806,256,0.13032798625688538,0.15574911501347893,5,25,True,123,19,0.2972332506137532,7.0,518,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
652,882,228,209,2.7437544951367965,low_compatibility_junction,0.08195076338828557,63,0.15264146602031578,0.19417115477321184,228,209,True,32,8,1.2040851850136032,8.0,128,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
653,733,209,228,2.743493924802316,low_compatibility_junction,0.05318348813275604,92,0.10030840169637134,0.34518672977211956,209,228,True,33,8,1.2040851850136032,8.0,124,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
654,963,237,215,2.741763736640957,low_compatibility_junction,0.05540006794035435,2,0.3816092807161934,0.330218289851636,237,215,True,3,2,0.6704601283040799,10.0,4,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
655,462,125,146,2.738442294296597,low_compatibility_junction,0.08889363128815266,151,0.13644936881684416,0.16899728559382485,125,146,True,71,14,1.2918859947622392,8.0,264,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,long_horizon,unknown,not_planner_used
656,1006,253,252,2.735622654205326,low_compatibility_junction,0.0728281200412781,496,0.09657818396099574,0.23303598370798695,253,252,True,262,37,1.1940024538182468,6.0,1028,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
657,547,146,125,2.7244311761749778,low_compatibility_junction,0.06765188470440493,132,0.1120238899623309,0.2584539629093589,146,125,True,63,11,1.2918859947622392,8.0,219,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
658,961,236,237,2.7176287511527164,low_compatibility_junction,0.07515531362206408,157,0.11803840553532913,0.2224381324508685,236,237,True,64,9,0.6119887066641122,6.0,305,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
659,731,209,211,2.703406234914501,low_compatibility_junction,0.06658802799096233,19,0.18261991297591873,0.26401204290304814,209,211,True,24,14,1.2040851850136032,10.0,35,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
660,959,236,234,2.6888463370349385,low_compatibility_junction,0.059520202462334894,74,0.11510709691467395,0.3040983685237262,236,234,True,56,29,0.6119887066641122,10.0,97,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
661,159,27,25,2.677270438250108,low_compatibility_junction,0.11219967901706696,5,0.4058069973563633,0.10603420159654381,27,25,True,10,7,1.2483050882681392,10.0,13,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
662,944,234,235,2.6759055809874277,low_compatibility_junction,0.0699108894179134,247,0.10288552528363828,0.24703684378461585,234,235,True,83,12,0.7237432083932548,7.0,445,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
663,165,28,7,2.662398525325521,low_compatibility_junction,0.051743453735128994,94,0.0977288413158099,0.3552728920892032,28,7,True,50,14,0.5426091782944411,7.0,184,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
664,1000,252,253,2.660305245477467,low_compatibility_junction,0.07181245575775393,160,0.1133361485456512,0.23781811619186877,252,253,True,85,17,1.1940024538182468,6.0,387,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
665,189,31,30,2.6516523493532653,low_compatibility_junction,0.07020997877046466,375,0.09702881068361191,0.24556353290046085,31,30,True,164,25,0.7038170681089723,7.0,757,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
666,137,25,5,2.636051542896953,low_compatibility_junction,0.1137434303322259,17,0.27406603927767453,0.10281041615341166,25,5,True,22,4,0.2972332506137532,4.0,56,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
667,38,5,24,2.616276035269641,low_compatibility_junction,0.07073404639959335,23,0.17942825500669957,0.24300313657912523,5,24,True,24,8,0.2972332506137532,8.0,48,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
668,241,46,66,2.612535081255972,low_compatibility_junction,0.07521881650430252,869,0.09345397032454816,0.22215580252585193,46,66,True,385,46,1.1664980998843535,7.0,1708,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
669,995,251,252,2.611799558166916,low_compatibility_junction,0.18158619433156484,169,0.2458333835797855,0.026470512890649056,251,252,True,50,6,1.1940024538182468,7.0,307,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,short_horizon,unknown,not_planner_used
670,967,237,235,2.6105542716353574,low_compatibility_junction,0.055364218777553605,55,0.11754974513448155,0.33045513573340907,237,235,True,45,28,0.7237432083932548,10.0,65,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
671,550,146,144,2.6086181287986454,low_compatibility_junction,0.07417163392528892,12,0.22826515230709005,0.2268576210100254,146,144,True,15,7,1.2918859947622392,9.5,24,low_compatibility_junction,1.0,True,,low_support,high_bottleneck,long_horizon,unknown,planner_used
672,746,211,209,2.5994211375999527,low_compatibility_junction,0.0813002134008067,7,0.2925288978031925,0.19671402237160412,211,209,True,6,4,1.2040851850136032,10.0,7,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
673,321,66,46,2.597238639045315,low_compatibility_junction,0.07613889758995786,762,0.09573103769878903,0.2181051589930491,66,46,True,296,37,1.1664980998843535,7.0,1509,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
674,893,229,228,2.596554522713184,low_compatibility_junction,0.06840362816350871,691,0.08790461622534163,0.2545972069485925,229,228,True,221,28,0.6570534259161989,7.0,1290,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
675,751,211,230,2.588651258946897,low_compatibility_junction,0.036584059638600494,74,0.08016395264475266,0.481099488833792,211,230,True,33,8,0.6928147497270761,8.0,139,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
676,811,218,237,2.587562304683346,low_compatibility_junction,0.06072619358789833,612,0.08025017520826802,0.2968513199486818,218,237,True,269,41,0.8816696613244259,8.0,1023,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,long_horizon,unknown,not_planner_used
