edge_id,bank_edge_id,src,dst,repair_score,repair_reason,edge_action_mse,num_policy_eval_samples,edge_action_mse_ucb,direct_edge_policy_support_score,src_edge,dst_edge,is_repair_edge,num_unique_starts,num_unique_episodes,edge_bottleneck_score,median_h,num_segments,repair_reason_edge,planner_usage_count,used_by_planner,mean_endpoint_compatibility,support_group,bottleneck_group,horizon_group,compatibility_group,planner_usage_group
2743,250,9,179,4.614562773144822,low_compatibility_junction,0.0050222129131474,29,0.0308153776901184,0.9044355258149512,9,179,True,104,82,0.3901730212642237,1.0,104,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2744,10736,498,179,4.607762622481107,low_compatibility_junction,0.0051997271376811,28,0.0319093239764553,0.9012302156431136,498,179,True,96,73,0.3901730212642237,1.0,97,low_compatibility_junction,2.0,True,,high_support,low_bottleneck,short_horizon,unknown,planner_used
2745,4226,198,179,4.606598244333849,low_compatibility_junction,0.0051981817147949,31,0.0305787272715769,0.9012580717096248,198,179,True,93,76,0.3901730212642237,1.0,93,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2746,10441,483,179,4.556642730889783,low_compatibility_junction,0.0037471584787237,21,0.0299288351064952,0.9277962118838526,483,179,True,52,35,0.3901730212642237,1.0,52,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2747,1316,61,21,4.521547175684097,low_compatibility_junction,0.0053390803851388,44,0.0269295934572506,0.8987219255053829,61,21,True,123,75,0.4564190951629047,1.0,124,low_compatibility_junction,2.0,True,,high_support,low_bottleneck,short_horizon,unknown,planner_used
2748,3826,179,43,4.503223756266469,low_compatibility_junction,0.007062326300121,137,0.0211347751074408,0.8682752328885899,179,43,True,77,65,0.3901730212642237,2.0,232,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2749,6606,302,21,4.500788208674888,low_compatibility_junction,0.005461152351927,12,0.0472737928600743,0.896530426738746,302,21,True,88,68,0.4564190951629047,1.0,89,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2750,9051,418,179,4.490951657800575,low_compatibility_junction,0.003721881386203,6,0.0525378274373957,0.9282653702772244,418,179,True,20,19,0.3901730212642237,1.0,20,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2751,3846,179,253,4.48066922243868,low_compatibility_junction,0.0067007213457496,101,0.0226652523044408,0.8745774470578342,179,253,True,58,52,0.3901730212642237,2.0,166,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2752,3832,179,129,4.4769263050221815,low_compatibility_junction,0.0070724266245687,85,0.0249509165334749,0.8680998533718458,179,129,True,63,41,0.3901730212642237,2.0,165,low_compatibility_junction,1.0,True,,high_support,low_bottleneck,short_horizon,unknown,planner_used
2753,4153,195,21,4.47278101677828,low_compatibility_junction,0.0076208706188481,20,0.0458807298510558,0.8586298032227577,195,21,True,64,44,0.4564190951629047,1.0,64,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2754,3856,179,313,4.471475776721903,low_compatibility_junction,0.0075211785979962,104,0.0241891348724165,0.8603434818608476,179,313,True,57,37,0.3901730212642237,2.0,161,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2755,3842,179,245,4.449913810174477,low_compatibility_junction,0.007060605106039,49,0.030588279030876,0.8683051228068995,179,245,True,43,36,0.3901730212642237,2.0,103,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2756,3877,179,488,4.449828743983498,low_compatibility_junction,0.0073550395917759,67,0.0278908183786778,0.8632069688166959,179,488,True,45,26,0.3901730212642237,2.0,125,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2757,3823,179,13,4.442951477379996,low_compatibility_junction,0.0080637926088952,176,0.0213306912853201,0.851057272721614,179,13,True,120,83,0.3901730212642237,4.0,152,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2758,3844,179,250,4.433097946339322,low_compatibility_junction,0.0054638360161334,3,0.0891096616533166,0.8964823082977709,179,250,True,9,9,0.3901730212642237,1.0,9,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
2759,3824,179,34,4.428809860546299,low_compatibility_junction,0.0067494408040951,294,0.0161405372881863,0.8737256833098729,179,34,True,123,98,0.3901730212642237,6.0,163,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2760,3847,179,256,4.427320917521282,low_compatibility_junction,0.0065309916117124,274,0.0161000753026677,0.8775513277115031,179,256,True,117,95,0.3901730212642237,6.0,165,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2761,3859,179,333,4.4196833409602005,low_compatibility_junction,0.0080735237168161,204,0.020403792687715,0.8508916542352962,179,333,True,89,71,0.3901730212642237,5.0,151,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2762,3864,179,392,4.415331566843526,low_compatibility_junction,0.0076297269903184,121,0.0231936074063127,0.8584777298014851,179,392,True,84,62,0.3901730212642237,4.0,103,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2763,3873,179,472,4.408167927081979,low_compatibility_junction,0.008479530239915,148,0.0233153350326804,0.8440102796347697,179,472,True,88,68,0.3901730212642237,5.0,110,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2764,3858,179,322,4.402409983729413,low_compatibility_junction,0.0070657294487298,179,0.0193799820464496,0.8682161375066998,179,322,True,77,53,0.3901730212642237,5.0,121,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2765,3835,179,158,4.390752049287623,low_compatibility_junction,0.0070292618812358,138,0.0210177697014399,0.8688496030999889,179,158,True,67,48,0.3901730212642237,5.0,100,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2766,516,21,141,4.387280020508721,low_compatibility_junction,0.0069738868641937,81,0.0251604657501169,0.8698123873751107,21,141,True,74,57,0.4564190951629047,2.0,163,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2767,505,21,31,4.383516928981619,low_compatibility_junction,0.0057564142039082,63,0.0244917643773841,0.8912518031569582,21,31,True,72,57,0.4564190951629047,2.0,148,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2768,3861,179,353,4.380526239692448,low_compatibility_junction,0.0079827641888625,174,0.0212584845966013,0.8524375873900141,179,353,True,69,39,0.3901730212642237,6.0,107,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2769,545,21,381,4.368233482356548,low_compatibility_junction,0.0079371266321563,59,0.0306703866942856,0.85321600596185,21,381,True,66,42,0.4564190951629047,2.0,122,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2770,539,21,319,4.36349736095323,low_compatibility_junction,0.0071124812238849,58,0.0288171239298689,0.8674047040124463,21,319,True,57,42,0.4564190951629047,2.0,117,low_compatibility_junction,1.0,True,,high_support,low_bottleneck,short_horizon,unknown,planner_used
2771,7714,354,179,4.356689558497088,low_compatibility_junction,0.0062220153009697,73,0.0243170816005547,0.8829909690389872,354,179,True,62,13,0.3901730212642237,4.0,62,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
2772,509,21,74,4.353341636189724,low_compatibility_junction,0.0063515292810431,108,0.0213823725356631,0.8807067352229161,21,74,True,105,77,0.4564190951629047,3.0,130,low_compatibility_junction,2.0,True,,high_support,low_bottleneck,short_horizon,unknown,planner_used
