segment_index,edge_id,global_i,global_j,src,dst,num_segments,num_unique_starts,num_unique_episodes,median_h,edge_bottleneck_score
362665,397,158132,158136,236,235,4148,791,77,7.0,0.7237432083932548
255626,272,148295,148305,212,213,1444,330,41,7.0,0.5858748306458231
448162,475,104907,104914,312,313,6951,1469,79,7.0,1.0310349539355537
335922,372,136836,136839,232,213,1660,514,42,8.0,1.0962254186468878
243306,252,144812,144820,208,209,2158,402,46,7.0,1.2040851850136032
560612,577,702,704,392,372,1484,276,49,7.0,0.8635553308620566
554222,572,190456,190466,389,390,7154,1413,89,7.0,0.7425888616027709
527857,554,142423,142430,383,384,2855,525,32,7.0,0.4182303580580847
261476,277,124796,124798,212,233,1129,343,44,8.0,1.1619791581108354
203984,207,66628,66637,187,167,2003,412,36,7.0,1.3357884073864643
359177,395,123987,123991,236,216,795,211,29,5.0,0.6119887066641122
338975,376,63878,63882,232,233,3684,906,62,6.0,1.1619791581108354
100071,105,103116,103120,46,47,5614,1117,54,7.0,1.1664980998843535
430112,463,103992,103998,305,306,1373,300,35,7.0,0.4805973720292605
118606,121,48725,48729,53,52,1991,412,37,7.0,0.6145816993069612
467971,487,181961,181964,316,315,3884,690,66,7.0,0.6423751221008027
216334,218,126584,126594,203,223,1634,339,35,6.0,0.4482084322085275
235968,246,11513,11523,207,208,2651,480,51,7.0,1.3972225133438927
170683,177,121957,121963,127,126,3197,604,48,7.0,1.181694780615308
227371,236,67814,67817,206,205,652,146,18,7.0,1.067174264901552
268550,286,158110,158117,214,215,1395,244,31,7.0,0.6704601283040799
138200,143,137467,137472,87,86,3397,685,43,7.0,1.1216278354671452
395160,426,51373,51383,273,272,2980,593,41,7.0,0.8389728572309009
176146,182,30824,30830,146,166,1871,398,42,7.0,1.2918859947622392
475810,498,13927,13936,321,341,1461,285,33,7.0,0.54501111574303
281872,307,76883,76891,217,218,974,187,24,7.0,0.8816696613244259
412603,448,4712,4719,300,301,3610,608,52,7.0,0.752293892421816
12603,5,168255,168260,4,5,2574,462,51,7.0,0.5708371775563242
525264,550,95704,95713,381,361,1326,263,39,6.0,0.3811421748763997
550331,572,88981,88984,389,390,7154,1413,89,7.0,0.7425888616027709
84599,77,62700,62703,29,9,358,94,20,6.0,0.8979178206761399
522448,547,66292,66299,372,392,1426,298,39,7.0,0.8635553308620566
514837,534,28981,28991,361,341,1406,257,31,7.0,0.4920301440106474
193920,199,69428,69433,178,198,3781,724,66,7.0,0.6242252993529385
86111,83,132748,132751,31,11,604,144,25,6.0,0.7038170681089723
386225,420,97151,97155,272,252,3139,673,55,7.0,1.1940024538182468
514664,534,7649,7657,361,341,1406,257,31,7.0,0.4920301440106474
117130,120,101357,101363,53,33,2430,508,57,7.0,0.6145816993069612
371608,409,63790,63800,252,233,243,69,14,8.0,1.1940024538182468
488145,512,152882,152889,340,341,2285,409,25,7.0,0.4920301440106474
248497,261,144853,144860,209,229,2724,563,46,6.0,1.2040851850136032
366214,402,45094,45103,241,221,934,187,24,7.0,1.1119894608452026
544765,568,84269,84279,388,389,2407,439,67,7.0,0.7088659022355741
504897,526,64707,64716,352,353,4882,1113,53,7.0,0.6701754396575299
305537,340,71734,71744,226,206,1938,464,41,7.0,1.067174264901552
28728,20,90587,90594,7,6,5706,1096,56,7.0,0.5426091782944411
298368,332,155324,155325,223,224,2604,557,36,7.0,0.6191565157353949
327842,359,169750,169753,230,229,3372,705,51,7.0,0.6928147497270761
433050,468,1384,1391,306,307,3461,702,28,7.0,0.4805973720292605
218308,220,157562,157567,204,203,1245,308,35,6.0,0.7820937747631929
365919,401,29561,29571,238,236,44,25,13,10.0,0.6119887066641122
362185,397,125360,125370,236,235,4148,791,77,7.0,0.7237432083932548
160221,167,51216,51219,124,123,2933,579,43,7.0,0.6901232461389545
71654,57,24818,24827,13,12,5022,865,46,7.0,0.4343780295618495
488217,512,152916,152925,340,341,2285,409,25,7.0,0.4920301440106474
374354,410,128351,128359,252,272,4224,748,64,7.0,1.1940024538182468
344220,378,111627,111632,233,212,1801,483,50,8.0,1.1619791581108354
266216,282,194938,194948,213,232,1253,328,45,8.0,1.0962254186468878
103749,110,78608,78615,47,27,435,80,11,7.0,1.2483050882681392
91235,92,73062,73070,32,33,266,70,10,7.0,0.586989255123132
405213,439,64832,64840,292,312,3429,611,67,7.0,1.1119155647980608
82640,72,185349,185357,27,26,901,190,29,6.0,1.2483050882681392
531744,555,160315,160323,384,383,3150,611,39,7.0,0.4182303580580847
363803,399,182922,182931,238,217,114,24,3,7.5,0.5697363003069251
78952,66,40044,40052,26,46,1774,348,37,7.0,1.1664980998843535
385005,420,7194,7204,272,252,3139,673,55,7.0,1.1940024538182468
537398,562,10503,10513,387,386,3556,691,39,7.0,0.4438264341470948
83376,74,92145,92146,27,47,1222,241,27,7.0,1.2483050882681392
433751,468,13021,13030,306,307,3461,702,28,7.0,0.4805973720292605
262786,278,97180,97189,213,212,1967,412,44,6.0,0.5858748306458231
2903,2,103021,103030,3,4,5792,1015,65,7.0,0.5708371775563242
111699,115,12273,12280,52,32,1615,285,39,7.0,0.5689117131441633
58016,40,136901,136911,10,11,1969,337,37,7.0,0.6435638621308869
270240,293,81038,81042,215,216,1452,353,47,7.0,0.6704601283040799
205003,207,132165,132174,187,167,2003,412,36,7.0,1.3357884073864643
559266,575,160527,160532,390,389,5780,1058,60,7.0,0.7425888616027709
314454,348,135054,135057,227,226,2383,516,41,7.0,0.4615167349457846
385624,420,52388,52391,272,252,3139,673,55,7.0,1.1940024538182468
159313,166,181786,181796,124,122,41,26,13,10.0,0.6901232461389545
318470,352,169792,169798,229,210,1418,448,40,8.0,0.665031004775942
122557,126,117403,117407,54,53,2150,349,51,7.0,0.6145816993069612
175609,181,168409,168419,146,127,905,230,26,8.0,1.2918859947622392
559972,575,180237,180243,390,389,5780,1058,60,7.0,0.7425888616027709
5473,2,171615,171623,3,4,5792,1015,65,7.0,0.5708371775563242
304877,340,27368,27375,226,206,1938,464,41,7.0,1.067174264901552
415317,448,165252,165261,300,301,3610,608,52,7.0,0.752293892421816
