env	seed	priority	slot_cost	gpu	pid	status	score_pp	eval_csv	status_file
humanoidmaze-giant-stitch-v0	42	12	1	0		completed	81.2	artifacts/gas_selftrain_round006/humanoidmaze-giant-stitch-v0/seed42/policy/round006_selftrain_humanoidmaze-giant-stitch_seed42/humanoidmaze-giant-stitch-v0_sd042__2026-05-28_06-58-49/eval.csv	runs_round006_gas_dynamic/humanoidmaze-giant-stitch-v0/seed42/status.json
humanoidmaze-giant-stitch-v0	43	12	1	0		completed	77.6	artifacts/gas_selftrain_round006/humanoidmaze-giant-stitch-v0/seed43/policy/round006_selftrain_humanoidmaze-giant-stitch_seed43/humanoidmaze-giant-stitch-v0_sd043__2026-05-28_06-58-42/eval.csv	runs_round006_gas_dynamic/humanoidmaze-giant-stitch-v0/seed43/status.json
humanoidmaze-giant-stitch-v0	44	12	1	0		completed	78.0	artifacts/gas_selftrain_round006/humanoidmaze-giant-stitch-v0/seed44/policy/round006_selftrain_humanoidmaze-giant-stitch_seed44/humanoidmaze-giant-stitch-v0_sd044__2026-05-28_06-58-35/eval.csv	runs_round006_gas_dynamic/humanoidmaze-giant-stitch-v0/seed44/status.json
humanoidmaze-giant-stitch-v0	45	12	1	0		completed	78.0	artifacts/gas_selftrain_round006/humanoidmaze-giant-stitch-v0/seed45/policy/round006_selftrain_humanoidmaze-giant-stitch_seed45/humanoidmaze-giant-stitch-v0_sd045__2026-05-28_06-58-44/eval.csv	runs_round006_gas_dynamic/humanoidmaze-giant-stitch-v0/seed45/status.json
humanoidmaze-giant-stitch-v0	46	12	1	0		completed	84.4	artifacts/gas_selftrain_round006/humanoidmaze-giant-stitch-v0/seed46/policy/round006_selftrain_humanoidmaze-giant-stitch_seed46/humanoidmaze-giant-stitch-v0_sd046__2026-05-28_06-58-52/eval.csv	runs_round006_gas_dynamic/humanoidmaze-giant-stitch-v0/seed46/status.json
humanoidmaze-large-stitch-v0	42	13	1	0		completed	74.8	artifacts/gas_selftrain_round006/humanoidmaze-large-stitch-v0/seed42/policy/round006_selftrain_humanoidmaze-large-stitch_seed42/humanoidmaze-large-stitch-v0_sd042__2026-05-28_06-52-21/eval.csv	runs_round006_gas_dynamic/humanoidmaze-large-stitch-v0/seed42/status.json
humanoidmaze-medium-stitch-v0	42	14	1	0		completed	93.6	artifacts/gas_selftrain_round006/humanoidmaze-medium-stitch-v0/seed42/policy/round006_selftrain_humanoidmaze-medium-stitch_seed42/humanoidmaze-medium-stitch-v0_sd042__2026-05-28_06-52-10/eval.csv	runs_round006_gas_dynamic/humanoidmaze-medium-stitch-v0/seed42/status.json
humanoidmaze-medium-stitch-v0	43	14	1	0		completed	94.4	artifacts/gas_selftrain_round006/humanoidmaze-medium-stitch-v0/seed43/policy/round006_selftrain_humanoidmaze-medium-stitch_seed43/humanoidmaze-medium-stitch-v0_sd043__2026-05-28_06-52-09/eval.csv	runs_round006_gas_dynamic/humanoidmaze-medium-stitch-v0/seed43/status.json
humanoidmaze-medium-stitch-v0	44	14	1	1		completed	96.4	artifacts/gas_selftrain_round006/humanoidmaze-medium-stitch-v0/seed44/policy/round006_selftrain_humanoidmaze-medium-stitch_seed44/humanoidmaze-medium-stitch-v0_sd044__2026-05-28_06-52-10/eval.csv	runs_round006_gas_dynamic/humanoidmaze-medium-stitch-v0/seed44/status.json
humanoidmaze-medium-stitch-v0	45	14	1	1		completed	95.2	artifacts/gas_selftrain_round006/humanoidmaze-medium-stitch-v0/seed45/policy/round006_selftrain_humanoidmaze-medium-stitch_seed45/humanoidmaze-medium-stitch-v0_sd045__2026-05-28_06-52-09/eval.csv	runs_round006_gas_dynamic/humanoidmaze-medium-stitch-v0/seed45/status.json
humanoidmaze-medium-stitch-v0	46	14	1	1		completed	96.8	artifacts/gas_selftrain_round006/humanoidmaze-medium-stitch-v0/seed46/policy/round006_selftrain_humanoidmaze-medium-stitch_seed46/humanoidmaze-medium-stitch-v0_sd046__2026-05-28_06-52-09/eval.csv	runs_round006_gas_dynamic/humanoidmaze-medium-stitch-v0/seed46/status.json
visual-antmaze-giant-navigate-v0	42	15	2	1		completed	49.2	artifacts/gas_selftrain_round006/visual-antmaze-giant-navigate-v0/seed42/policy/round006_selftrain_visual-antmaze-giant-navigate_seed42/visual-antmaze-giant-navigate-v0_sd042__2026-05-28_06-55-38/eval.csv	runs_round006_gas_dynamic/visual-antmaze-giant-navigate-v0/seed42/status.json
visual-antmaze-giant-navigate-v0	43	15	2	1		completed	34.4	artifacts/gas_selftrain_round006/visual-antmaze-giant-navigate-v0/seed43/policy/round006_selftrain_visual-antmaze-giant-navigate_seed43/visual-antmaze-giant-navigate-v0_sd043__2026-05-28_06-55-33/eval.csv	runs_round006_gas_dynamic/visual-antmaze-giant-navigate-v0/seed43/status.json
visual-antmaze-giant-navigate-v0	44	15	2	0		completed	42.4	artifacts/gas_selftrain_round006/visual-antmaze-giant-navigate-v0/seed44/policy/round006_selftrain_visual-antmaze-giant-navigate_seed44/visual-antmaze-giant-navigate-v0_sd044__2026-05-29_14-23-33/eval.csv	runs_round006_gas_dynamic/visual-antmaze-giant-navigate-v0/seed44/status.json
visual-antmaze-giant-navigate-v0	45	15	2	0		completed	45.2	artifacts/gas_selftrain_round006/visual-antmaze-giant-navigate-v0/seed45/policy/round006_selftrain_visual-antmaze-giant-navigate_seed45/visual-antmaze-giant-navigate-v0_sd045__2026-05-29_14-23-47/eval.csv	runs_round006_gas_dynamic/visual-antmaze-giant-navigate-v0/seed45/status.json
visual-antmaze-giant-navigate-v0	46	15	2	0		completed	45.6	artifacts/gas_selftrain_round006/visual-antmaze-giant-navigate-v0/seed46/policy/round006_selftrain_visual-antmaze-giant-navigate_seed46/visual-antmaze-giant-navigate-v0_sd046__2026-05-29_14-23-29/eval.csv	runs_round006_gas_dynamic/visual-antmaze-giant-navigate-v0/seed46/status.json
visual-antmaze-large-navigate-v0	42	16	2	0		completed	79.2	artifacts/gas_selftrain_round006/visual-antmaze-large-navigate-v0/seed42/policy/round006_selftrain_visual-antmaze-large-navigate_seed42/visual-antmaze-large-navigate-v0_sd042__2026-05-29_22-38-30/eval.csv	runs_round006_gas_dynamic/visual-antmaze-large-navigate-v0/seed42/status.json
visual-antmaze-large-navigate-v0	43	16	2	1		completed	74.4	artifacts/gas_selftrain_round006/visual-antmaze-large-navigate-v0/seed43/policy/round006_selftrain_visual-antmaze-large-navigate_seed43/visual-antmaze-large-navigate-v0_sd043__2026-05-29_21-58-31/eval.csv	runs_round006_gas_dynamic/visual-antmaze-large-navigate-v0/seed43/status.json
visual-antmaze-large-navigate-v0	44	16	2	1		completed	81.2	artifacts/gas_selftrain_round006/visual-antmaze-large-navigate-v0/seed44/policy/round006_selftrain_visual-antmaze-large-navigate_seed44/visual-antmaze-large-navigate-v0_sd044__2026-05-29_21-59-36/eval.csv	runs_round006_gas_dynamic/visual-antmaze-large-navigate-v0/seed44/status.json
visual-antmaze-large-navigate-v0	45	16	2	1		completed	73.2	artifacts/gas_selftrain_round006/visual-antmaze-large-navigate-v0/seed45/policy/round006_selftrain_visual-antmaze-large-navigate_seed45/visual-antmaze-large-navigate-v0_sd045__2026-05-29_21-59-06/eval.csv	runs_round006_gas_dynamic/visual-antmaze-large-navigate-v0/seed45/status.json
visual-antmaze-large-navigate-v0	46	16	2	1		completed	66.4	artifacts/gas_selftrain_round006/visual-antmaze-large-navigate-v0/seed46/policy/round006_selftrain_visual-antmaze-large-navigate_seed46/visual-antmaze-large-navigate-v0_sd046__2026-05-29_21-59-35/eval.csv	runs_round006_gas_dynamic/visual-antmaze-large-navigate-v0/seed46/status.json
visual-antmaze-medium-navigate-v0	42	17	2	0	1822548	launched			runs_round006_gas_dynamic/visual-antmaze-medium-navigate-v0/seed42/status.json
visual-antmaze-medium-navigate-v0	43	17	2	0	1822549	launched			runs_round006_gas_dynamic/visual-antmaze-medium-navigate-v0/seed43/status.json
visual-antmaze-medium-navigate-v0	44	17	2	0	1822550	launched			runs_round006_gas_dynamic/visual-antmaze-medium-navigate-v0/seed44/status.json
visual-antmaze-medium-navigate-v0	45	17	2	1	1831453	launched			runs_round006_gas_dynamic/visual-antmaze-medium-navigate-v0/seed45/status.json
visual-antmaze-medium-navigate-v0	46	17	2	1	1833338	launched			runs_round006_gas_dynamic/visual-antmaze-medium-navigate-v0/seed46/status.json
visual-antmaze-giant-stitch-v0	42	18	2	1	1835095	launched			runs_round006_gas_dynamic/visual-antmaze-giant-stitch-v0/seed42/status.json
visual-antmaze-giant-stitch-v0	43	18	2	1	1835096	launched			runs_round006_gas_dynamic/visual-antmaze-giant-stitch-v0/seed43/status.json
visual-antmaze-giant-stitch-v0	44	18	2	0	1838994	launched			runs_round006_gas_dynamic/visual-antmaze-giant-stitch-v0/seed44/status.json
visual-antmaze-giant-stitch-v0	45	18	2			queued			runs_round006_gas_dynamic/visual-antmaze-giant-stitch-v0/seed45/status.json
visual-antmaze-giant-stitch-v0	46	18	2			queued			runs_round006_gas_dynamic/visual-antmaze-giant-stitch-v0/seed46/status.json
visual-antmaze-large-stitch-v0	42	19	2			queued			runs_round006_gas_dynamic/visual-antmaze-large-stitch-v0/seed42/status.json
visual-antmaze-large-stitch-v0	43	19	2			queued			runs_round006_gas_dynamic/visual-antmaze-large-stitch-v0/seed43/status.json
visual-antmaze-large-stitch-v0	44	19	2			queued			runs_round006_gas_dynamic/visual-antmaze-large-stitch-v0/seed44/status.json
visual-antmaze-large-stitch-v0	45	19	2			queued			runs_round006_gas_dynamic/visual-antmaze-large-stitch-v0/seed45/status.json
visual-antmaze-large-stitch-v0	46	19	2			queued			runs_round006_gas_dynamic/visual-antmaze-large-stitch-v0/seed46/status.json
visual-antmaze-medium-stitch-v0	42	20	2			queued			runs_round006_gas_dynamic/visual-antmaze-medium-stitch-v0/seed42/status.json
visual-antmaze-medium-stitch-v0	43	20	2			queued			runs_round006_gas_dynamic/visual-antmaze-medium-stitch-v0/seed43/status.json
visual-antmaze-medium-stitch-v0	44	20	2			queued			runs_round006_gas_dynamic/visual-antmaze-medium-stitch-v0/seed44/status.json
visual-antmaze-medium-stitch-v0	45	20	2			queued			runs_round006_gas_dynamic/visual-antmaze-medium-stitch-v0/seed45/status.json
visual-antmaze-medium-stitch-v0	46	20	2			queued			runs_round006_gas_dynamic/visual-antmaze-medium-stitch-v0/seed46/status.json
visual-antmaze-large-explore-v0	42	21	2			queued			runs_round006_gas_dynamic/visual-antmaze-large-explore-v0/seed42/status.json
visual-antmaze-large-explore-v0	43	21	2			queued			runs_round006_gas_dynamic/visual-antmaze-large-explore-v0/seed43/status.json
visual-antmaze-large-explore-v0	44	21	2			queued			runs_round006_gas_dynamic/visual-antmaze-large-explore-v0/seed44/status.json
visual-antmaze-large-explore-v0	45	21	2			queued			runs_round006_gas_dynamic/visual-antmaze-large-explore-v0/seed45/status.json
visual-antmaze-large-explore-v0	46	21	2			queued			runs_round006_gas_dynamic/visual-antmaze-large-explore-v0/seed46/status.json
visual-antmaze-medium-explore-v0	42	22	2			queued			runs_round006_gas_dynamic/visual-antmaze-medium-explore-v0/seed42/status.json
visual-antmaze-medium-explore-v0	43	22	2			queued			runs_round006_gas_dynamic/visual-antmaze-medium-explore-v0/seed43/status.json
visual-antmaze-medium-explore-v0	44	22	2			queued			runs_round006_gas_dynamic/visual-antmaze-medium-explore-v0/seed44/status.json
