stage,evidence_class,dataset_name,dataset_path,dataset_size_bytes,dataset_family,artifact_status
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,Ant_maze_big-maze_noisy_multistart_True_multigoal_False_sparse_fixed,/mnt/project/offlinerl_datasets/d4rl/Ant_maze_big-maze_noisy_multistart_True_multigoal_False_sparse_fixed.hdf5,231110764,Ant,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,Ant_maze_big-maze_noisy_multistart_True_multigoal_True_sparse_fixed,/mnt/project/offlinerl_datasets/d4rl/Ant_maze_big-maze_noisy_multistart_True_multigoal_True_sparse_fixed.hdf5,231095166,Ant,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,Ant_maze_hardest-maze_noisy_multistart_True_multigoal_False_sparse_fixed,/mnt/project/offlinerl_datasets/d4rl/Ant_maze_hardest-maze_noisy_multistart_True_multigoal_False_sparse_fixed.hdf5,230880653,Ant,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,Ant_maze_hardest-maze_noisy_multistart_True_multigoal_True_sparse_fixed,/mnt/project/offlinerl_datasets/d4rl/Ant_maze_hardest-maze_noisy_multistart_True_multigoal_True_sparse_fixed.hdf5,231183710,Ant,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,Ant_maze_u-maze_noisy_multistart_False_multigoal_False_sparse_fixed,/mnt/project/offlinerl_datasets/d4rl/Ant_maze_u-maze_noisy_multistart_False_multigoal_False_sparse_fixed.hdf5,232532949,Ant,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,Ant_maze_u-maze_noisy_multistart_True_multigoal_True_sparse_fixed,/mnt/project/offlinerl_datasets/d4rl/Ant_maze_u-maze_noisy_multistart_True_multigoal_True_sparse_fixed.hdf5,230854272,Ant,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,halfcheetah-medium-replay-v2,/mnt/project/offlinerl_datasets/d4rl/halfcheetah-medium-replay-v2.hdf5,59448533,halfcheetah,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,halfcheetah-medium-v2,/mnt/project/offlinerl_datasets/d4rl/halfcheetah-medium-v2.hdf5,237727262,halfcheetah,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,halfcheetah-random-v2,/mnt/project/offlinerl_datasets/d4rl/halfcheetah-random-v2.hdf5,237338037,halfcheetah,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,halfcheetah_medium-v2,/mnt/project/offlinerl_datasets/d4rl/halfcheetah_medium-v2.hdf5,237727262,halfcheetah,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
stage31_local_dataset_inventory,LOCAL_D4RL_DATASET_AVAILABILITY,halfcheetah_medium_replay-v2,/mnt/project/offlinerl_datasets/d4rl/halfcheetah_medium_replay-v2.hdf5,59448533,halfcheetah,LOCAL_DATA_ONLY_PROTOCOL_DEBUG_UNLESS_GATE_PASSES
