dataset,source_path,format,success,mean_length,num_rows
antmaze-giant-navigate-v0,results/cage_clp1/segment_capture_candidate/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,0.0,1000.0,1
antmaze-giant-navigate-v0,results/cage_ecg/action_anchored_eval/smoke/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,0.0,1000.0,1
antmaze-giant-navigate-v0,results/cage_repair0/smoke_antmaze_nav/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,0.0,1000.0,1
antmaze-giant-navigate-v0,results/cage_v02_contract_commit/smoke/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,0.0,1000.0,1
antmaze-giant-navigate-v0,results/cage_v03_contract_rank/smoke/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,0.0,1000.0,1
antmaze-giant-navigate-v0,results/cage_v04_contract_intervene/smoke/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,0.0,1000.0,1
antmaze-giant-navigate-v0,results/cage_clp1/segment_capture/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,0.5,865.0,1
antmaze-giant-navigate-v0,runs_tmd_test/antmaze-giant-navigate-v0/seed0/gas_graph_policy_alltasks_ep10_gasseed42_screen/eval.csv,per_episode,0.54,841.02,50
antmaze-giant-navigate-v0,runs_tmd_test/antmaze-giant-navigate-v0/seed0/gas_graph_policy_alltasks_ep20_gasseed42/eval.csv,per_episode,0.54,844.26,100
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed0/gas_graph_policy_alltasks_ep20_gasseed42/eval.csv,per_episode,0.58,830.14,100
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed0/gas_graph_policy_alltasks_ep50_gasseed42/eval.csv,per_episode,0.588,836.46,250
antmaze-giant-navigate-v0,runs_tmd_test/antmaze-giant-navigate-v0/seed1/gas_graph_policy_alltasks_ep20_gasseed42/eval.csv,per_episode,0.59,850.34,100
antmaze-giant-navigate-v0,results/cage_ecg/action_anchored_eval/minipilot_antmaze/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,0.6,824.28,1
antmaze-giant-navigate-v0,results/cage_pilot0/minipilot_local_antmaze_nav/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,0.6,823.4799999999999,1
antmaze-giant-navigate-v0,results/cage_v02_contract_commit/recheck_antmaze_no_debug/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,0.6,812.8,1
antmaze-giant-navigate-v0,results/cage_v03_contract_rank/minipilot_antmaze/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,0.6,813.4799999999999,1
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed1/gas_graph_policy_alltasks_ep20_gasseed42/eval.csv,per_episode,0.6,850.19,100
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed1/gas_graph_policy_alltasks_ep50_gasseed42/eval.csv,per_episode,0.608,841.868,250
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed2/gas_graph_policy_alltasks_ep20_gasseed42/eval.csv,per_episode,0.62,823.96,100
antmaze-giant-navigate-v0,runs_stage26_tmd_tdr/phase_b/antmaze-giant-navigate-v0/seed2/gas_graph_policy_alltasks_ep50_gasseed42/eval.csv,per_episode,0.636,822.272,250
antmaze-giant-navigate-v0,results/cage_repair0/minipilot_antmaze_nav/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,0.64,813.1600000000001,1
antmaze-giant-navigate-v0,results/cage_v02_contract_commit/minipilot/jobs/antmaze-giant-navigate-v0/seed42/gas/eval.csv,summary,0.64,810.92,1
