env,seed,variant,budget,fallback,log,error_class
antmaze-medium-navigate-v0,0,gas_reachability_budget_replan_on_local_drift,4.277040201695186,none,runs_stage24_local_drift_logs/antmaze-medium-navigate-v0/seed0/gas_reachability_budget_replan_on_local_drift/budget4.277040201695186/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-navigate-v0,0,gas_shortest_adaptive_subgoal_horizon,4.277040201695186,none,runs_stage24_local_drift_logs/antmaze-medium-navigate-v0/seed0/gas_shortest_adaptive_subgoal_horizon/budget4.277040201695186/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-navigate-v0,0,gas_shortest_replan_on_local_drift,4.277040201695186,none,runs_stage24_local_drift_logs/antmaze-medium-navigate-v0/seed0/gas_shortest_replan_on_local_drift/budget4.277040201695186/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-navigate-v0,1,gas_shortest_replan_on_local_drift,4.277040201695186,none,runs_stage24_local_drift_logs/antmaze-medium-navigate-v0/seed1/gas_shortest_replan_on_local_drift/budget4.277040201695186/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-navigate-v0,1,gas_shortest_adaptive_subgoal_horizon,4.277040201695186,none,runs_stage24_local_drift_logs/antmaze-medium-navigate-v0/seed1/gas_shortest_adaptive_subgoal_horizon/budget4.277040201695186/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-navigate-v0,1,gas_reachability_budget_replan_on_local_drift,4.277040201695186,none,runs_stage24_local_drift_logs/antmaze-medium-navigate-v0/seed1/gas_reachability_budget_replan_on_local_drift/budget4.277040201695186/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-navigate-v0,2,gas_shortest_replan_on_local_drift,4.277040201695186,none,runs_stage24_local_drift_logs/antmaze-medium-navigate-v0/seed2/gas_shortest_replan_on_local_drift/budget4.277040201695186/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-navigate-v0,2,gas_shortest_adaptive_subgoal_horizon,4.277040201695186,none,runs_stage24_local_drift_logs/antmaze-medium-navigate-v0/seed2/gas_shortest_adaptive_subgoal_horizon/budget4.277040201695186/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-navigate-v0,2,gas_reachability_budget_replan_on_local_drift,4.277040201695186,none,runs_stage24_local_drift_logs/antmaze-medium-navigate-v0/seed2/gas_reachability_budget_replan_on_local_drift/budget4.277040201695186/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-stitch-v0,0,gas_shortest_replan_on_local_drift,3.0509568029941887,none,runs_stage24_local_drift_logs/antmaze-medium-stitch-v0/seed0/gas_shortest_replan_on_local_drift/budget3.0509568029941887/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-stitch-v0,0,gas_shortest_adaptive_subgoal_horizon,3.0509568029941887,none,runs_stage24_local_drift_logs/antmaze-medium-stitch-v0/seed0/gas_shortest_adaptive_subgoal_horizon/budget3.0509568029941887/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-stitch-v0,0,gas_reachability_budget_replan_on_local_drift,3.0509568029941887,none,runs_stage24_local_drift_logs/antmaze-medium-stitch-v0/seed0/gas_reachability_budget_replan_on_local_drift/budget3.0509568029941887/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-stitch-v0,1,gas_shortest_replan_on_local_drift,3.0509568029941887,none,runs_stage24_local_drift_logs/antmaze-medium-stitch-v0/seed1/gas_shortest_replan_on_local_drift/budget3.0509568029941887/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-stitch-v0,1,gas_shortest_adaptive_subgoal_horizon,3.0509568029941887,none,runs_stage24_local_drift_logs/antmaze-medium-stitch-v0/seed1/gas_shortest_adaptive_subgoal_horizon/budget3.0509568029941887/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-stitch-v0,1,gas_reachability_budget_replan_on_local_drift,3.0509568029941887,none,runs_stage24_local_drift_logs/antmaze-medium-stitch-v0/seed1/gas_reachability_budget_replan_on_local_drift/budget3.0509568029941887/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-stitch-v0,2,gas_shortest_replan_on_local_drift,3.0509568029941887,none,runs_stage24_local_drift_logs/antmaze-medium-stitch-v0/seed2/gas_shortest_replan_on_local_drift/budget3.0509568029941887/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-stitch-v0,2,gas_shortest_adaptive_subgoal_horizon,3.0509568029941887,none,runs_stage24_local_drift_logs/antmaze-medium-stitch-v0/seed2/gas_shortest_adaptive_subgoal_horizon/budget3.0509568029941887/fallback_none/evaluate.log,checkpoint/artifact missing
antmaze-medium-stitch-v0,2,gas_reachability_budget_replan_on_local_drift,3.0509568029941887,none,runs_stage24_local_drift_logs/antmaze-medium-stitch-v0/seed2/gas_reachability_budget_replan_on_local_drift/budget3.0509568029941887/fallback_none/evaluate.log,checkpoint/artifact missing
